hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,5301.907755147334,934.2437209647459,0.0,6236.15147611208
1,5114.088550306817,936.4887840775785,0.0,6050.577334384395
2,5006.909346828372,850.621639658092,0.0,5857.530986486464
3,4817.77470555949,740.7797562974164,0.0,5558.5544618569065
4,4493.134837154995,704.8773688352721,0.0,5198.012205990267
5,4226.761936257222,578.9071154757752,0.0,4805.669051732997
6,3937.707500781059,558.7352283279255,0.0,4496.442729108984
7,3780.2694563496593,505.6339872974783,0.0,4285.9034436471375
8,3569.7917736240747,496.4313283617785,0.17272846535565445,4066.395830451209
9,3432.814203605142,464.03779611901706,11.87079118986116,3908.72279091402
10,3458.7350170406917,302.53720950801164,146.61463789967428,3907.8868644483773
11,3510.8038643703703,297.3096467875069,156.8416819882438,3964.955193146121
12,3642.090842161227,325.2803630991302,124.86399093663937,4092.2351961969966
13,3828.7408682111522,324.94410657175166,115.33942291860589,4269.02439770151
14,4112.880939011166,321.953803437151,99.8766041965043,4534.711346644822
15,4191.521439072483,382.31140666030365,57.14429078155085,4630.977136514338
16,4350.903458491864,432.12651237992884,32.49331855770816,4815.5232894295
17,4424.036901290659,527.446169062038,11.490479987567916,4962.973550340265
18,4443.980482689088,585.3327941496691,8.131109177790089,5037.444386016547
19,4416.939472698776,656.8597734074444,3.719717088250031,5077.51896319447
20,4387.322293833395,754.7201101098424,0.0,5142.042403943237
21,4340.12885406124,887.4883738740498,0.0,5227.61722793529
22,4459.594658437703,959.7583617572604,0.0,5419.353020194963
23,4547.081446710559,1016.8755915816238,0.0,5563.957038292183
24,4522.059250749103,1073.366799756267,0.0,5595.42605050537
25,4552.802621613585,1014.2606162144529,0.0,5567.063237828038
26,4505.931804928107,985.1945304541082,0.0,5491.126335382216
27,4380.55956641579,1004.9824838790606,0.0,5385.542050294851
28,4150.263563523584,1006.0523284385994,0.0,5156.315891962183
29,4046.3212351517095,974.8759638256954,0.0,5021.197198977405
30,3766.5560262654117,990.0405467065216,0.0,4756.596572971934
31,3572.328468704115,994.6298138828025,0.0,4566.958282586917
32,3466.489144507319,1004.9652753357989,0.0,4471.454419843118
33,3431.0498289560437,1016.5512790112002,0.0,4447.601107967244
34,3475.5614505694566,1044.7110025913983,0.0,4520.272453160855
35,3705.6729479659184,1084.8231640276003,0.0,4790.496111993519
36,4165.024807880044,1129.93893448783,0.0,5294.963742367874
37,4644.17959040986,1178.2240689723678,0.0,5822.4036593822275
38,5002.762943663606,1158.1485731920973,0.0,6160.911516855704
39,5215.067177596857,1139.8808787702308,0.0,6354.948056367088
40,5340.3655746940985,1099.4893892946832,0.0,6439.8549639887815
41,5395.248143522123,1069.4451136257783,0.0,6464.693257147902
42,5376.88041591028,1090.090199712011,0.0,6466.970615622291
43,5355.076058998969,1108.8596424512407,0.0,6463.935701450209
44,5312.15034093134,1132.4537545012245,0.0,6444.6040954325645
45,5322.392963809925,1175.9580773581392,0.0,6498.3510411680645
46,5548.137839503282,1100.5896118535036,0.0,6648.727451356785
47,5609.86515493236,1116.768208257969,0.0,6726.633363190329
48,5301.907755147334,1296.5023774811348,0.0,6598.410132628469
49,5114.088550306817,1305.2390342943118,0.0,6419.327584601128
50,5006.909346828372,1188.1629418609323,0.0,6195.072288689304
51,4817.77470555949,1063.5313485908987,0.0,5881.306054150389
52,4493.134837154995,1027.383932140364,0.0,5520.518769295359
53,4046.3212351517095,1027.546394915052,0.0,5073.867630066761
54,3766.5560262654117,970.8391701748423,0.0,4737.395196440254
55,3572.328468704115,951.8122227448163,0.0,4524.140691448932
56,3466.489144507319,929.8378924107175,0.0,4396.327036918036
57,3431.0498289560437,887.5924738440548,0.0,4318.642302800098
58,3475.5614505694566,856.768488431959,0.0,4332.329939001415
59,3705.6729479659184,885.1086902462745,0.0,4590.781638212193
60,4165.108797163013,910.6434782563358,0.0,5075.752275419349
61,4644.17959040986,941.0929139153451,0.0,5585.272504325205
62,5002.762943663606,918.6140535387514,0.0,5921.376997202357
63,5215.067177596857,870.8534317102575,0.0,6085.920609307114
64,5340.3655746940985,818.2111131573774,0.0,6158.576687851476
65,5395.248143522123,832.9621490590469,0.0,6228.2102925811705
66,5376.88041591028,836.6670904381454,0.0,6213.5475063484255
67,5355.076058998969,868.0884325809433,0.0,6223.164491579912
68,5312.15034093134,913.6649980706233,0.0,6225.815339001963
69,5321.030647354322,977.4305660833166,0.0,6298.461213437639
70,5548.137839503282,961.8327673485213,0.0,6509.970606851803
71,5609.86515493236,982.4427819359173,0.0,6592.3079368682775
72,5301.907755147334,1169.3755662836209,0.0,6471.283321430955
73,5114.088550306817,1218.4022665999707,0.0,6332.490816906788
74,5006.909346828372,1153.00571419212,0.0,6159.9150610204915
