hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,825.9188839491725,234.39272404775778,0.0,1060.3116079969302
1,775.479268229888,253.55561061289208,0.0,1029.03487884278
2,765.8183931603177,234.78795255336112,0.0,1000.6063457136788
3,705.2671826372527,231.14677169974462,0.0,936.4139543369973
4,635.9687196830599,224.9798077649569,0.0,860.9485274480169
5,564.8288847680774,191.25707514544834,0.0,756.0859599135257
6,517.7270952500315,182.4392860191111,0.0,700.1663812691427
7,487.81744787931916,173.79311582295583,0.0,661.6105637022749
8,475.1174689301148,156.22274420062206,0.0,631.3402131307369
9,487.01297131032425,127.73218404404875,0.0,614.745155354373
10,485.9557920152447,128.36193407413674,0.0,614.3177260893815
11,514.8249531076572,142.8700983454199,0.0,657.6950514530771
12,539.4829035703051,171.19736332682393,0.0,710.6802668971291
13,577.0540604018173,196.65020261821175,0.0,773.7042630200291
14,609.2773304924413,246.56528407049734,0.0,855.8426145629386
15,620.3830857652883,285.1858803345075,0.0,905.5689660997958
16,630.4317693449142,288.95934629739264,0.0,919.3911156423069
17,636.0855501015751,300.6783900175143,0.0,936.7639401190894
18,656.799230946227,283.2825380353966,0.0,940.0817689816236
19,651.4531707014046,282.67112048180286,0.0,934.1242911832074
20,641.2564558495235,298.5473080138123,0.0,939.8037638633358
21,651.5880263912888,304.7946899970736,0.0,956.3827163883625
22,744.8293793374987,272.23635129280797,0.0,1017.0657306303067
23,715.9726094907728,337.9404522908801,0.0,1053.913061781653
24,712.0177346716462,350.58328462963414,0.0,1062.6010193012803
25,684.1344055468728,362.5429046789469,0.0,1046.6773102258198
26,693.1098750797127,341.48686574236194,0.0,1034.5967408220745
27,650.610420311891,340.44074029714756,0.0,991.0511606090386
28,601.1881668742623,333.80034959338764,0.0,934.9885164676499
29,573.6221062621433,348.75139731912475,0.0,922.3735035812681
30,544.7439007748154,337.0509345805629,0.0,881.7948353553784
31,526.7484515058793,330.01599223226543,0.0,856.7644437381448
32,526.9574778845172,321.7389513866404,0.0,848.6964292711575
33,531.908597472276,317.01881013390954,0.0,848.9274076061856
34,568.7469858350985,309.2577225061092,0.0,878.0047083412077
35,637.4548757103046,318.56134204976087,0.0,956.0162177600655
36,746.6458147011522,324.58457883275213,0.0,1071.2303935339044
37,760.4883942931376,337.9856215576957,0.0,1098.4740158508334
38,744.6353486409115,367.08862430411085,0.0,1111.7239729450223
39,745.2987076532359,372.4857502103998,0.0,1117.7844578636357
40,772.5855812119887,339.6003982586181,0.0,1112.1859794706068
41,762.5406982173897,324.98725164770894,0.0,1087.5279498650987
42,758.8515181246842,311.01328259563275,0.0,1069.864800720317
43,752.5991952892641,312.57714981503915,0.0,1065.1763451043032
44,742.9906186134699,311.5642408862737,0.0,1054.5548594997435
45,743.5808418209049,323.3892410779589,0.0,1066.970082898864
46,823.0035311009996,287.3713400931456,0.0,1110.3748711941453
47,860.7740288850534,282.97251015791574,0.0,1143.7465390429693
48,825.9188839491725,318.08788166266044,0.0,1144.0067656118329
49,775.479268229888,341.5643439085639,0.0,1117.0436121384519
50,765.8183931603177,314.6044719480745,0.0,1080.4228651083922
51,705.2671826372527,315.73448341474233,0.0,1021.001666051995
52,635.9687196830599,313.82105190624304,0.0,949.789771589303
53,573.6221062621433,299.7012331911385,0.0,873.3233394532818
54,544.7439007748154,280.79520646022576,0.0,825.5391072350412
55,526.7484515058793,273.087359724889,0.0,799.8358112307683
56,526.9574778845172,258.3921238429358,0.0,785.349601727453
57,531.908597472276,246.8471523997127,0.0,778.7557498719888
58,568.7469858350985,226.47476928560954,0.0,795.221755120708
59,637.4548757103046,236.18756692146712,0.0,873.6424426317717
60,746.7736157838658,238.65170156960974,0.0,985.4253173534755
61,760.4883942931376,249.66156864126162,0.0,1010.1499629343992
62,744.6353486409115,286.6722934500934,0.0,1031.307642091005
63,745.2987076532359,309.93277776166286,0.0,1055.2314854148988
64,772.5855812119887,290.14546982736977,0.0,1062.7310510393586
65,762.5406982173897,292.3547685722578,0.0,1054.8954667896476
66,758.8515181246842,284.0903525061604,0.0,1042.9418706308445
67,752.5991952892641,290.4687116237864,0.0,1043.0679069130506
68,742.9906186134699,292.34280111310517,0.0,1035.3334197265751
69,742.9556048895947,300.4417616049908,0.0,1043.3973664945856
70,823.0035311009996,254.18588634288423,0.0,1077.1894174438837
71,860.7740288850534,246.97049719735733,0.0,1107.7445260824109
72,825.9188839491725,274.9724533538996,0.0,1100.891337303072
73,775.479268229888,301.7927838006879,0.0,1077.2720520305759
74,765.8183931603177,281.0339373766917,0.0,1046.8523305370095
75,705.2671826372527,287.06415034745334,0.0,992.331332984706
76,635.9687196830599,284.68204228110636,0.0,920.6507619641663
77,573.6221062621433,269.15420676468455,0.0,842.7763130268279
78,544.7439007748154,254.94411839747485,0.0,799.6880191722903
79,526.7484515058793,248.58913101556757,0.0,775.3375825214468
80,526.9574778845172,234.33264712831237,0.0,761.2901250128295
81,531.908597472276,230.95251463619337,0.0,762.8611121084693
82,568.7469858350985,215.53570229690578,0.0,784.2826881320043
83,637.4548757103046,227.85372841972261,0.0,865.3086041300272
84,746.7548358877049,229.86979892475148,0.0,976.6246348124564
85,760.4883942931376,241.74146831814397,0.0,1002.2298626112815
86,744.6353486409115,266.0505088481927,0.0,1010.6858574891041
87,745.2987076532359,256.8459125687176,0.0,1002.1446202219535
88,772.5855812119887,226.79611145844228,0.0,999.381692670431
89,762.5406982173897,215.43248187392706,0.0,977.9731800913167
90,758.8515181246842,201.32241935375845,0.0,960.1739374784427
91,752.5991952892641,199.15248634883844,0.0,951.7516816381026
92,742.9906186134699,204.45883193469248,0.0,947.4494505481624
93,742.3121589893244,219.0359012550372,0.0,961.3480602443616
94,823.0035311009996,208.58587456188326,0.0,1031.5894056628829
95,860.7740288850534,209.74034585733463,0.0,1070.514374742388
96,825.9188839491725,240.3334604616043,0.0,1066.2523444107767
97,775.479268229888,264.2864346431967,0.0,1039.7657028730846
98,765.8183931603177,260.472257396602,0.0,1026.2906505569197
99,705.2671826372527,271.76640764726153,0.0,977.0335902845143
100,635.9687196830599,271.851191948065,0.0,907.8199116311249
101,564.8288847680774,263.33445696679377,0.0,828.1633417348712
102,517.7270952500315,266.68069636777454,0.0,784.4077916178061
103,487.81744787931916,264.543353837826,0.0,752.3608017171451
104,475.1174689301148,267.8191754950558,0.0,742.9366444251706
105,487.01297131032425,253.99062014262813,0.0,741.0035914529524
106,485.9557920152447,249.9897247946141,0.0,735.9455168098588
107,514.8249531076572,258.0255180104302,0.0,772.8504711180874
108,539.5379609114035,275.7281374991873,0.0,815.2660984105908
109,577.0540604018173,279.83967209886816,0.0,856.8937325006855
110,609.2773304924413,286.77297803480263,0.0,896.0503085272439
111,620.3830857652883,299.0292236098445,0.0,919.4123093751328
112,630.4317693449142,292.2419998747977,0.0,922.6737692197119
113,636.0855501015751,267.39520113619966,0.0,903.4807512377747
114,656.799230946227,241.5648612950783,0.0,898.3640922413053
115,651.4531707014046,231.14251043174758,0.0,882.5956811331522
116,641.2564558495235,238.4311950920699,0.0,879.6876509415933
117,648.9606369260412,248.2006799912432,0.0,897.1613169172844
118,744.8293793374987,224.8870974204512,0.0,969.71647675795
119,715.9726094907728,280.7621563401769,0.0,996.7347658309498
120,712.0177346716462,287.0882184753294,0.0,999.1059531469756
121,684.1344055468728,297.2715783265508,0.0,981.4059838734236
122,693.1098750797127,268.5860870804649,0.0,961.6959621601775
123,650.610420311891,259.1770159046617,0.0,909.7874362165526
124,601.1881668742623,250.44776692022526,0.0,851.6359337944875
125,564.8288847680774,240.91620730145135,0.0,805.7450920695287
126,517.7270952500315,234.0502154802032,0.0,751.7773107302347
127,487.81744787931916,227.4425045465067,0.0,715.2599524258259
128,475.1174689301148,217.20533647365264,0.0,692.3228054037675
129,487.01297131032425,191.99067568561975,0.0,679.003646995944
130,485.9557920152447,206.16341363351935,0.0,692.119205648764
131,514.8249531076572,214.52241808336055,0.0,729.3473711910177
132,539.4817209509324,228.99187582542882,0.0,768.4735967763612
133,577.0540604018173,237.12156670298472,0.0,814.1756271048021
134,609.2773304924413,276.91797977569195,0.0,886.1953102681332
135,620.3830857652883,310.56128976002253,0.0,930.9443755253109
136,630.4317693449142,315.97915060621085,0.0,946.410919951125
137,636.0855501015751,323.0953850190294,0.0,959.1809351206045
138,656.799230946227,305.9379375826584,0.0,962.7371685288854
139,651.4531707014046,309.1829576726468,0.0,960.6361283740514
140,641.2564558495235,331.94456549246877,0.0,973.2010213419923
141,648.1808229509217,341.4747707157099,0.0,989.6555936666316
142,744.8293793374987,308.8711366863909,0.0,1053.7005160238896
143,715.9726094907728,385.3048137917757,0.0,1101.2774232825486
144,712.0177346716462,399.88581739875366,0.0,1111.9035520703999
145,684.1344055468728,413.29596946924255,0.0,1097.4303750161152
146,693.1098750797127,388.37980753683667,0.0,1081.4896826165493
147,650.610420311891,392.47388783777797,0.0,1043.084308149669
148,601.1881668742623,386.1423740036376,0.0,987.3305408778999
149,573.6221062621433,408.30753457350363,0.0,981.929640835647
150,544.7439007748154,396.9907431464305,0.0,941.7346439212458
151,526.7484515058793,397.65848224989537,0.0,924.4069337557746
152,526.9574778845172,393.47436965065714,0.0,920.4318475351743
153,531.908597472276,393.3637873020182,0.0,925.2723847742942
154,568.7469858350985,389.414005600464,0.0,958.1609914355624
155,637.4548757103046,396.91352833516567,0.0,1034.3684040454702
156,746.4165675951249,400.0116324764247,0.0,1146.4282000715496
157,760.4883942931376,409.26650993313643,0.0,1169.754904226274
158,744.6353486409115,442.67843996874717,0.0,1187.3137886096588
159,745.2987076532359,448.6696619195854,0.0,1193.9683695728213
160,772.5855812119887,408.4602062376662,0.0,1181.0457874496549
161,762.5406982173897,399.5956045398951,0.0,1162.1363027572847
162,758.8515181246842,381.05622374618935,0.0,1139.9077418708735
163,752.5991952892641,376.09145226715714,0.0,1128.6906475564213
164,742.9906186134699,369.52579611059235,0.0,1112.5164147240623
165,740.0637491129736,374.2657058979064,0.0,1114.3294550108799
166,823.0035311009996,313.44867680132603,0.0,1136.4522079023257
167,860.7740288850534,303.7148691923952,0.0,1164.4888980774485
168,825.9188839491725,340.4434145928155,0.0,1166.362298541988
169,775.479268229888,369.4447819757715,0.0,1144.9240502056596
170,765.8183931603177,334.1234688286644,0.0,1099.941861988982
171,705.2671826372527,329.23877637701617,0.0,1034.505959014269
172,635.9687196830599,325.83040701622315,0.0,961.7991266992831
173,573.6221062621433,302.8203995415871,0.0,876.4425058037305
174,544.7439007748154,292.52786472841683,0.0,837.2717655032322
175,526.7484515058793,289.08358401359044,0.0,815.8320355194697
176,526.9574778845172,259.63652141595554,0.0,786.5939993004727
177,531.908597472276,245.9442631310237,0.0,777.8528606032997
178,568.7469858350985,219.07913233240214,0.0,787.8261181675007
179,637.4548757103046,226.66125859545855,0.0,864.1161343057631
180,745.857086332619,227.58822427252636,0.0,973.4453106051453
181,760.4883942931376,233.8416648988447,0.0,994.3300591919823
182,744.6353486409115,259.5514420393136,0.0,1004.1867906802252
183,745.2987076532359,273.0080405821007,0.0,1018.3067482353365
184,772.5855812119887,253.54523287812572,0.0,1026.1308140901144
185,762.5406982173897,250.44413557148732,0.0,1012.984833788877
186,758.8515181246842,235.4364061112542,0.0,994.2879242359384
187,752.5991952892641,233.647055014777,0.0,986.2462503040412
188,742.9906186134699,241.68924070775645,0.0,984.6798593212263
189,739.2821241177439,246.03553280870432,0.0,985.3176569264483
190,823.0035311009996,209.53403530996994,0.0,1032.5375664109695
191,860.7740288850534,205.2203338613632,0.0,1065.9943627464168
192,825.9188839491725,232.12360728142568,0.0,1058.0424912305982
193,775.479268229888,253.59461931786998,0.0,1029.073887547758
194,765.8183931603177,241.8728516186857,0.0,1007.6912447790033
195,705.2671826372527,245.67958726966629,0.0,950.946769906919
196,635.9687196830599,245.6064800620978,0.0,881.5751997451578
197,573.6221062621433,233.93134323901197,0.0,807.5534495011553
198,544.7439007748154,219.71396898334436,0.0,764.4578697581597
199,526.7484515058793,216.53923940188798,0.0,743.2876909077672
200,526.9574778845172,208.46302962666965,0.0,735.4205075111868
201,531.908597472276,198.88616556509527,0.0,730.7947630373712
202,568.7469858350985,184.2370441978992,0.0,752.9840300329977
203,637.4548757103046,195.95942828296137,0.0,833.414303993266
204,745.6834435076404,197.65049163667635,0.0,943.3339351443167
205,760.4883942931376,209.300174625336,0.0,969.7885689184736
206,744.6353486409115,243.984861923036,0.0,988.6202105639475
207,745.2987076532359,266.93712265202856,0.0,1012.2358303052645
208,772.5855812119887,255.41607336301183,0.0,1028.0016545750004
209,762.5406982173897,265.931431353521,0.0,1028.4721295709107
210,758.8515181246842,263.8750753518299,0.0,1022.726593476514
211,752.5991952892641,268.798535620287,0.0,1021.3977309095511
212,742.9906186134699,278.9305713528313,0.0,1021.9211899663012
213,738.5004991225144,289.5775680890346,0.0,1028.078067211549
214,823.0035311009996,263.93705655407484,0.0,1086.9405876550745
215,860.7740288850534,259.2262308155415,0.0,1120.000259700595
216,825.9188839491725,292.8133677418585,0.0,1118.732251691031
217,775.479268229888,321.80763358461894,0.0,1097.286901814507
218,765.8183931603177,308.1754858921866,0.0,1073.9938790525043
219,705.2671826372527,319.56975961861355,0.0,1024.8369422558662
220,635.9687196830599,318.9460029832967,0.0,954.9147226663566
221,573.6221062621433,313.5325729052378,0.0,887.1546791673811
222,544.7439007748154,297.70917023822926,0.0,842.4530710130447
223,526.7484515058793,288.53661711792785,0.0,815.2850686238071
224,526.9574778845172,285.4549669124246,0.0,812.4124447969418
225,531.908597472276,282.0261020931088,0.0,813.9346995653848
226,568.7469858350985,276.8662785532587,0.0,845.6132643883573
227,637.4548757103046,288.9931471772142,0.0,926.4480228875188
228,745.6832961110867,297.8970776648674,0.0,1043.5803737759543
229,760.4883942931376,312.7026739398981,0.0,1073.1910682330358
230,744.6353486409115,362.37595361580577,0.0,1107.0113022567173
231,745.2987076532359,383.2509644870338,0.0,1128.5496721402696
232,772.5855812119887,358.95858415177224,0.0,1131.5441653637608
233,762.5406982173897,373.64141262414296,0.0,1136.1821108415327
234,758.8515181246842,364.00525038187766,0.0,1122.8567685065618
235,752.5991952892641,365.82181988834395,0.0,1118.421015177608
236,742.9906186134699,375.21856316833157,0.0,1118.2091817818014
237,737.626978727284,384.80859750623137,0.0,1122.4355762335153
238,822.8643725039299,341.00456338294174,0.0,1163.8689358868717
239,860.7740288850534,334.4075417540495,0.0,1195.181570639103
240,825.9188839491725,378.60106279525115,0.0,1204.5199467444236
241,775.479268229888,416.9716845899234,0.0,1192.4509528198114
242,765.8183931603177,402.8613067867607,0.0,1168.6796999470785
243,705.2671826372527,422.73767576262185,0.0,1128.0048583998746
244,635.9687196830599,434.94883902885766,0.0,1070.9175587119175
245,573.6221062621433,435.2174749338399,0.0,1008.8395811959833
246,544.7439007748154,425.44011116589945,0.0,970.1840119407149
247,526.7484515058793,426.2101055310293,0.0,952.9585570369086
248,526.9574778845172,421.3576816109288,0.0,948.315159495446
249,531.908597472276,420.0210727566924,0.0,951.9296702289685
250,568.7469858350985,410.5400264924738,0.0,979.2870123275723
251,637.4548757103046,416.6579239850859,0.0,1054.1127996953905
252,745.2011065627503,426.60869201727843,0.0,1171.8097985800287
253,760.4883942931376,439.2558490920793,0.0,1199.744243385217
254,744.6353486409115,492.89162557636695,0.0,1237.5269742172784
255,745.2987076532359,506.9844024057168,0.0,1252.2831100589526
256,772.5855812119887,467.6071466828668,0.0,1240.1927278948556
257,762.5406982173897,463.30810755312774,0.0,1225.8488057705174
258,758.8515181246842,451.2688881185141,0.0,1210.1204062431982
259,752.5991952892641,452.36286233464335,0.0,1204.9620576239074
260,742.9906186134699,450.75809786969074,0.0,1193.7487164831607
261,736.9901929037688,462.9417678875747,0.0,1199.9319607913435
262,822.6399553962718,419.10392449231483,0.0,1241.7438798885867
263,860.7740288850534,415.5496814592067,0.0,1276.3237103442602
264,825.9188839491725,471.4830023532429,0.0,1297.4018863024153
265,775.479268229888,513.1786428212024,0.0,1288.6579110510904
266,765.8183931603177,479.02404654652304,0.0,1244.8424397068407
267,705.2671826372527,492.27740992354376,0.0,1197.5445925607964
268,635.9687196830599,495.67613069025253,0.0,1131.6448503733125
269,564.8288847680774,465.26784083912,0.0,1030.0967256071974
270,517.7270952500315,468.48260067457176,0.0,986.2096959246032
271,487.81744787931916,472.1750609532538,0.0,959.992508832573
272,475.1174689301148,475.0182213753254,0.0,950.1356903054402
273,487.01297131032425,458.4309261046949,0.0,945.4438974150191
274,485.9557920152447,463.628154305405,0.0,949.5839463206497
275,514.8249531076572,471.4107912475743,0.0,986.2357443552314
276,538.652817741624,510.33986366528165,0.0,1048.9926814069056
277,577.0540604018173,515.2659670598085,0.0,1092.3200274616258
278,609.2773304924413,531.572410163996,0.0,1140.8497406564372
279,620.3830857652883,537.01611592136,0.0,1157.3992016866482
280,630.4317693449142,524.5900756772846,0.0,1155.0218450221987
281,636.0855501015751,497.89544193504446,0.0,1133.9809920366197
282,656.799230946227,451.2670915534788,0.0,1108.0663224997058
283,651.4531707014046,439.45320917050714,0.0,1090.9063798719117
284,641.2564558495235,445.6312068319929,0.0,1086.8876626815163
285,643.6027517070631,457.85477239463336,0.0,1101.4575241016964
286,744.3030179415935,395.9823969492125,0.0,1140.285414890806
287,715.9726094907728,495.54089712305466,0.0,1211.5135066138275
288,712.0177346716462,511.8601646896912,0.0,1223.8778993613373
289,684.1344055468728,527.6285761771536,0.0,1211.7629817240263
290,693.1098750797127,487.2875557331859,0.0,1180.3974308128986
291,650.610420311891,485.86078721929937,0.0,1136.4712075311904
292,601.1881668742623,472.2936414533082,0.0,1073.4818083275704
293,564.8288847680774,477.26738301611476,0.0,1042.0962677841922
294,517.7270952500315,482.40398558906963,0.0,1000.1310808391012
295,487.81744787931916,490.7966752485313,0.0,978.6141231278505
296,475.1174689301148,492.1556265888773,0.0,967.273095518992
297,487.01297131032425,478.6303287594032,0.0,965.6433000697275
298,485.9557920152447,483.05139182776503,0.0,969.0071838430097
299,514.8249531076572,493.93489884497933,0.0,1008.7598519526365
300,538.3309651082184,534.4058524256991,0.0,1072.7368175339175
301,577.0540604018173,539.6294782212374,0.0,1116.6835386230546
302,609.2773304924413,557.280728970538,0.0,1166.5580594629791
303,620.3830857652883,542.65992636528,0.0,1163.0430121305683
304,630.4317693449142,524.7563552815349,0.0,1155.188124626449
305,636.0855501015751,486.78474797469875,0.0,1122.870298076274
306,656.799230946227,441.84335572681056,0.0,1098.6425866730376
307,651.4531707014046,426.18133774245007,0.0,1077.6345084438547
308,641.2564558495235,425.27949216028713,0.0,1066.5359480098107
309,642.8166466592236,435.3676715920948,0.0,1078.1843182513185
310,744.0255981489257,387.13062432784693,0.0,1131.1562224767727
311,715.9726094907728,488.73402985625546,0.0,1204.7066393470282
312,712.0177346716462,507.2281754883881,0.0,1219.2459101600343
313,684.1344055468728,534.5738145340164,0.0,1218.708220080889
