hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,493.1753288080722,115.30836623130459,0.0,608.4836950393768
1,471.8347858285,128.09519863362254,0.0,599.9299844621225
2,472.3615553192171,121.48736985857974,0.0,593.8489251777968
3,456.77350014445096,117.0780542358746,0.0,573.8515543803255
4,439.8192154401087,116.32017945136376,0.0,556.1393948914724
5,433.4851386458823,103.32750769139099,0.0,536.8126463372732
6,428.32988517105576,96.71825541332852,0.0,525.0481405843843
7,427.9509068081383,94.96716701456053,0.0,522.9180738226988
8,422.65963803226225,85.74061502553815,0.0,508.4002530578004
9,425.09139588579364,72.76955539983956,0.0,497.8609512856332
10,434.5401976346401,70.3683318131584,0.0,504.9085294477985
11,436.9698838136346,75.26723601119336,0.0,512.237119824828
12,440.2016176331401,85.50131755181843,0.0,525.7029351849585
13,441.27771281826426,100.56961198322598,0.0,541.8473248014902
14,447.08492216185834,127.14902339140393,0.0,574.2339455532623
15,467.47186599818303,125.12149899022819,0.0,592.5933649884112
16,458.805832171101,131.51953425165033,0.0,590.3253664227514
17,458.3386129483232,141.7825283471219,0.0,600.1211412954451
18,474.9875057749112,127.87384063455123,0.0,602.8613464094624
19,467.5703995126058,131.57975786422384,0.0,599.1501573768296
20,461.211284262282,146.65957300197567,0.0,607.8708572642577
21,478.2200873709581,138.06754202889084,0.0,616.2876293998489
22,513.3214753651367,130.7197551952872,0.0,644.041230560424
23,473.67170992255996,173.15174064937153,0.0,646.8234505719315
24,478.0263456739068,169.53437985387234,0.0,647.5607255277791
25,458.0957346163059,184.19268468483372,0.0,642.2884193011396
26,452.83565380866764,193.5810039426793,0.0,646.416657751347
27,453.21725530594927,176.48197516542044,0.0,629.6992304713697
28,438.3303303584122,181.39198228891993,0.0,619.7223126473322
29,434.90306792848196,187.65001165293276,0.0,622.5530795814147
30,431.0996544014798,192.74311556619833,0.0,623.8427699676781
31,430.2828469253135,192.48381843004265,0.0,622.7666653553562
32,432.1174713343379,189.93679923449042,0.0,622.0542705688283
33,432.1006904085582,184.85877433120092,0.0,616.9594647397591
34,452.4420666199212,166.0927592602281,0.0,618.5348258801494
35,472.86977670860574,159.33927644780127,0.0,632.209053156407
36,499.27151170905324,173.63149359262425,0.0,672.9030053016775
37,473.47193587977165,201.41927940344476,0.0,674.8912152832164
38,475.13336091126354,193.8390578731269,0.0,668.9724187843905
39,476.2110527002789,185.96590369488567,0.0,662.1769563951646
40,484.87546463366846,170.29935546496117,0.0,655.1748200986297
