hour_utc,base_load_mw,heat_load_mw,cool_load_mw,total_load_mw
0,672.0789215452955,209.00843801735047,0.0,881.087359562646
1,632.5314493391486,245.7832195785073,0.0,878.3146689176559
2,619.399361467111,282.3650393162745,0.0,901.7644007833856
3,565.1272621949978,347.84595770741845,0.0,912.9732199024163
4,526.7758120462721,353.8120385368571,0.0,880.5878505831292
5,494.2858679841763,367.0166837849438,0.0,861.3025517691201
6,454.40046837080985,394.83004761078814,0.0,849.230515981598
7,433.1630485591368,415.8369300377709,0.0,848.9999785969078
8,424.3256913053587,427.3469293420815,0.0,851.6726206474402
9,414.1852348403882,452.59639244221836,0.0,866.7816272826066
10,412.41001601162753,466.7288277202795,0.0,879.1388437319071
11,395.6255486008335,507.31883738392,0.0,902.9443859847536
12,403.2305107157938,537.2059956391433,0.0,940.4365063549371
13,409.50395145298444,568.1097000290334,0.0,977.6136514820179
14,466.79055278064794,528.8369667203999,0.0,995.6275195010478
15,497.9255650450658,546.6400549928036,0.0,1044.5656200378694
16,552.4135415503617,508.9166964431258,0.0,1061.3302379934876
17,553.5328964455593,506.28431020991906,0.0,1059.8172066554785
18,567.634309538554,472.503698417501,0.0,1040.138007956055
19,551.8454593559254,483.8019430733059,0.0,1035.6474024292313
20,561.7069564169092,466.3941255169268,0.0,1028.101081933836
21,574.2437582788024,448.0297353341318,0.0,1022.2734936129341
22,589.146926915761,438.3348329765426,0.0,1027.4817598923037
23,601.2974890445396,458.62870999131655,0.0,1059.9261990358561
24,640.4912447870613,458.52835110459677,0.0,1099.0195958916581
25,609.2435356641738,481.35912500292864,0.0,1090.6026606671026
26,565.7162053114706,509.93487215172456,0.0,1075.6510774631952
27,501.0486917381362,538.1076959014654,0.0,1039.1563876396017
28,483.28812192098684,509.2180381794944,0.0,992.5061601004812
29,457.1497574412875,496.6406011681783,0.0,953.7903586094658
30,450.81225310540293,486.8331798271492,0.0,937.6454329325521
31,414.7286694452034,519.0596603072781,0.0,933.7883297524816
32,391.90741866575786,540.5391709099823,0.0,932.4465895757402
33,380.11255900598366,556.5245345778736,0.0,936.6370935838572
34,404.5904155241482,537.6366778021722,0.0,942.2270933263205
35,417.5060089164212,566.2908019747205,0.0,983.7968108911416
36,469.5835080795838,583.1270153946413,0.0,1052.710523474225
37,499.64368042564786,569.1075809241337,0.0,1068.7512613497815
38,518.5995187825079,540.7003528869724,0.0,1059.2998716694801
39,574.0310040746501,500.0380902968851,0.0,1074.0690943715354
40,631.5559638441343,433.59543835102636,0.0,1065.1514021951607
41,648.6036344367874,400.1106980871611,0.0,1048.7143325239485
42,650.7426941168966,380.6574013373305,0.0,1031.400095454227
43,668.012801301337,350.1711817824631,0.0,1018.1839830838002
44,656.9488694261861,354.2280658365321,0.0,1011.1769352627182
45,659.5854186209378,348.7147063430412,0.0,1008.300124963979
46,654.9090214523965,364.9563955252836,0.0,1019.8654169776801
47,665.8052876086938,392.4407278627234,0.0,1058.2460154714172
48,672.0789204643927,431.66916790586504,0.0,1103.7480883702578
49,632.5314493391486,457.6548059060709,0.0,1090.1862552452194
50,619.399361467111,449.973771091719,0.0,1069.37313255883
51,565.1272621949978,456.37259498271237,0.0,1021.4998571777102
52,526.7758120462721,441.8924673049503,0.0,968.6682793512224
53,494.2858679841763,432.7071491088934,0.0,926.9930170930697
54,450.81225310540293,453.87068106562236,0.0,904.6829341710253
55,414.7286694452034,481.0547573040405,0.0,895.783426749244
56,391.90741866575786,496.9309294224363,0.0,888.8383480881942
57,380.11255900598366,506.1101844919959,0.0,886.2227434979795
58,404.5904155241482,477.75544073338926,0.0,882.3458562575374
59,417.5060089164212,502.9844447429793,0.0,920.4904536594005
60,469.5835080795838,519.9055405938175,0.0,989.4890486734013
61,499.64368042564786,510.25868582401614,0.0,1009.902366249664
62,518.5995187825079,480.2997548769489,0.0,998.8992736594568
