,0
pop,405736.0
res_area_m2,32339983.830026448
com_area_m2,9387971.195683382
ind_m2_gbs,1083792.6635050413
res_area_elec_heat,4959712.962264139
res_area_elec_cool,18541887.84450845
com_area_elec_heat,1393454.8122984483
hdd65,7964.185891811425
cdd65,350.4961280241339
mrae_avg_%,0.035660201055893306
mrae_max_%,0.25191755534635274
rss_avg_%,600.4671257264497
avg_profile_load_mw,550.9863496215011
avg_actual_load_mw,550.4391552511415
