puma,state,pop,res_area_gbs_m2,com_area_gbs_m2,ind_area_gbs_m2,hdd65_normals,cdd65_normals,res_area_2019_m2,com_area_2019_m2,frac_sh_res_natgas_acs,frac_sh_res_fok_acs,frac_sh_res_othergas_acs,frac_sh_res_coal_acs,frac_sh_res_wood_acs,frac_sh_res_solar_acs,frac_sh_res_elec_acs,frac_sh_res_other_acs,frac_sh_res_none_acs,frac_natgas_sh_res_2019,frac_fok_sh_res_2019,frac_othergas_sh_res_2019,frac_elec_sh_res_2019,frac_natgas_dhw_res_2019,frac_fok_dhw_res_2019,frac_othergas_dhw_res_2019,frac_elec_dhw_res_2019,frac_natgas_other_res_2019,frac_fok_other_res_2019,frac_othergas_other_res_2019,frac_elec_other_res_2019,frac_natgas_sh_com_2019,frac_fok_sh_com_2019,frac_othergas_sh_com_2019,frac_elec_sh_com_2019,frac_natgas_dhw_com_2019,frac_fok_dhw_com_2019,frac_othergas_dhw_com_2019,frac_elec_dhw_com_2019,frac_natgas_cook_com_2019,frac_fok_cook_com_2019,frac_othergas_cook_com_2019,frac_elec_cook_com_2019,frac_other_sh_com_2019,frac_ff_sh_res_2019,frac_ff_dhw_res_2019,frac_ff_other_res_2019,frac_ff_sh_com_2019,frac_ff_dhw_com_2019,frac_ff_cook_com_2019,timezone
puma_0100100,AL,186695,11147537.690672133,2877951.2030971786,924793.6530535361,3396.4759206191916,1593.4742708696,13472519.492416473,4808421.115791368,0.29094228678059847,0.002309065768099988,0.06747304971203802,0.0008457624615715072,0.013626172991985394,0.0001208232087959296,0.6197022379143229,0.0009263112674354603,0.004054289895152305,0.29162088510147394,0.004784507303401547,0.06630733558364117,0.5520902340707916,0.3051017004885031,0.0004634758788755123,0.03853033339741565,0.6524409760546981,0.19966804434115146,0.0,0.07523329391735631,0.7423269305233107,0.3440240036535548,0.001720139829359321,0.046879295020938724,0.4259952506140585,0.30741138990398575,0.0009556332385329564,0.028127577012563233,0.4869922610945934,0.17775156615448706,0.0,0.02625240521172568,0.19873219543658158,0.18138131088208875,0.36271272798851667,0.34409550976479425,0.27490133825850777,0.39262343850385284,0.336494600155082,0.20400397136621273,America/Chicago
puma_0100200,AL,171821,10171118.797390157,1947827.2505921593,514711.55082165194,3312.5158857182764,1702.8331926830829,12292454.177767424,3254389.3279294516,0.11847574730092074,0.0019436208095109737,0.07133230241037354,0.0004965454622838254,0.009022940400357513,0.0,0.7918765162370366,0.0016598805453487877,0.005192446834168003,0.11931940341880787,0.004419969076144169,0.07009991298843797,0.7054796069090716,0.13607920376830074,0.00039012373546643193,0.040734150977417734,0.809793267044114,0.0813076058045502,0.0,0.07906043092897642,0.8589846634982224,0.18446871222610162,0.0014479014040221392,0.04956064774736434,0.5443511647224718,0.1389506868619771,0.0008043896689011886,0.029736388648418606,0.6222952114032876,0.07238291094461229,0.0,0.027753962738524034,0.25394673273427093,0.22017157390004005,0.19383928548339002,0.1772034784811849,0.16036803673352662,0.23547726137748812,0.1694914651792969,0.10013687368313631,America/Chicago
puma_0100301,AL,118924,7625478.381297227,2032837.0726917102,351851.6876878364,3002.0,1951.0,9215883.272320474,3396421.9736509104,0.26643269176918627,0.001381447532996061,0.010155506188511583,0.0,0.0005787145070659175,0.0,0.7179606847499393,0.00041070061791774785,0.003080254634383109,0.26713474681256827,0.003859190647503456,0.009980052179903796,0.6396282895980461,0.2810815458838585,0.0002772842672223239,0.005799278985207295,0.74224063642944,0.18284758500650428,0.0,0.01839273192755838,0.8089025408011365,0.3213492541826551,0.0010291101087311258,0.007055898210174786,0.4935399989202178,0.2834710730207568,0.0005717278381839589,0.004233538926104872,0.564208543800249,0.16277739740336264,0.0,0.00395130299769788,0.23024267848010163,0.17702573857822113,0.2809739896399755,0.2871581091362881,0.20124031693406266,0.329434262501561,0.28827633978504563,0.16672870040106053,America/Chicago
puma_0100302,AL,101522,6613064.618674042,2614375.7163385986,353554.3131780628,3350.683438072536,1672.7303047615296,7992315.832602835,4368044.665081912,0.2896059599676869,0.0011668611435239206,0.012117404182748407,0.0001795170990036801,0.002064446638542321,0.0001570774616282201,0.6909837537025402,0.0003814738353828202,0.003343505968943542,0.2902858372100302,0.003645136683498145,0.01190805497864974,0.6155946501091899,0.3037920592384734,0.00023421246873597752,0.006919616425596908,0.717586071615668,0.19875094918703276,0.0,0.020338303522288464,0.7906241565426504,0.34278771738771047,0.000869253858437671,0.00841899644369671,0.4749955370815568,0.3061061016140013,0.00048291881024315066,0.005051397866218026,0.5430087548622877,0.1769351355609227,0.0,0.004714638008470158,0.22159145147915585,0.17292849522859832,0.30583902887217806,0.31094588813280627,0.21908925270932122,0.35207596768984484,0.31164041829046246,0.18164977356939285,America/Chicago
puma_0100400,AL,124336,6851061.627440774,1639759.0946000519,824623.4628793239,3441.5881482434693,1520.1599617166387,8279950.59363438,2739675.4492572914,0.10557398095645662,0.0021825184551192895,0.16749759281052745,0.0,0.030212902535572912,0.0,0.6902535572911095,0.0008558895902428587,0.0034235583609714348,0.10642998461223023,0.004658273975908724,0.16460378096646525,0.6149441210598497,0.12343507716715814,0.00043807529136806976,0.09564912393611234,0.7169187357085268,0.07245337398059994,0.0,0.17442545905536966,0.7901294075080457,0.17253280225057593,0.0016258683381078544,0.11637489489764175,0.4744935860085192,0.12634858656223602,0.000903260187837697,0.06982493693858505,0.5424349308873372,0.06450056012079701,0.0,0.06516994114267938,0.22135728492776185,0.2349728485051552,0.2756920395546042,0.21952227639463856,0.24687883303596958,0.29053356548632553,0.19707678368865877,0.1296705012634764,America/Chicago
puma_0100500,AL,118345,6842693.630712541,1535926.570191916,488754.1583347865,3214.5915332291183,1689.8803498246652,8269837.328968952,2566194.2233307706,0.21726720604330751,0.0022104427323647443,0.060475996308775246,0.0,0.0134987230937614,0.0,0.7018262978303325,0.0010730304526042449,0.0036483035388544327,0.21801631454289847,0.004686128968255053,0.05943116843117248,0.6252542291121358,0.23289786239997493,0.000443680254690076,0.03453468177683777,0.7274952123728265,0.14910626643574626,0.0,0.06829446815363811,0.7979705884833024,0.27586441157589986,0.001646670543986773,0.042017843935375936,0.48244891068652906,0.23544754152432223,0.0009148169688815407,0.025210706361225563,0.5515293551728219,0.132739680352244,0.0,0.023529992603810525,0.2250685449392122,0.19802216325820843,0.282133611942326,0.2678762244315028,0.21740073458938436,0.31952892605526256,0.2615730648544293,0.15626967295605454,America/Chicago
puma_0100600,AL,153829,8679401.512984505,2406426.0145420106,697114.6812325206,3232.318412002938,1692.6606816660058,10489617.466289306,4020606.6209395532,0.20317433228091134,0.0018431606792388428,0.06461302158887278,0.0,0.01462582131581193,0.0,0.7094632647836846,0.0018090280740677533,0.004471371277412748,0.20393692825873316,0.004319758204605966,0.06349671941391534,0.6320579722889517,0.21908641400848267,0.0003699593695081003,0.0368971207653819,0.7344747348545065,0.1394346007097999,0.0,0.0723970661965955,0.8031450620473066,0.2628265632663477,0.0013730635740516611,0.044892189017486143,0.48769870881889327,0.22168199935563224,0.0007628130966953674,0.026935313410491685,0.557530856501968,0.12412962091192463,0.0,0.02513962584979224,0.22751764245130818,0.2032094753232213,0.2717534058772545,0.25635349414337266,0.2118316669063954,0.3090918158578855,0.2493801258628193,0.14926924676171688,America/Chicago
puma_0100700,AL,104890,6278104.884553347,1456507.9447421033,670589.4792355979,3218.6232529316426,1611.875393269139,7587495.353647037,2433503.2328827614,0.11847092994633979,0.0030276177817161426,0.14301186432333973,0.00034460690198395114,0.02424555703244228,0.0,0.7058533943779846,0.0,0.0050460296361935705,0.11931459067463968,0.005501276466799513,0.14054108596840276,0.628841953247362,0.13607448261310556,0.0006077037006332922,0.08166660371335117,0.7311756277866835,0.08130429974760427,0.0,0.15014349436562183,0.8006991723246102,0.1844642555099386,0.0022554255519069894,0.09936256635383973,0.4852172143945129,0.13894598139886546,0.0012530141955038833,0.05961753981230384,0.5546940441692467,0.07237996777560457,0.0,0.05564303715815025,0.22635999378219768,0.22870053818980174,0.265356953109842,0.21834879002709,0.23144779411322608,0.28608224741568533,0.19981653540667318,0.12802300493375482,America/Chicago
puma_0100800,AL,140915,7830943.280574606,1313193.6706307875,306914.2986698911,3098.1751055600894,1696.3663414114892,9464200.877278037,2194056.7193040894,0.19499216936807745,0.0005283317923656056,0.08726909070324736,0.0,0.012774307979696965,3.773798516897183e-05,0.6990961752552032,0.0014340434364209294,0.0038681434798196125,0.19576259602302223,0.003008191632670857,0.08576136558278387,0.6228219738783675,0.21106764347901663,0.00010604680264521609,0.04983481811532101,0.7250001181806888,0.13381934111531463,0.0,0.09486459745798276,0.7961207772718899,0.25525693618388434,0.0003935810628350728,0.06063329680141446,0.48057217186029283,0.21368988145926393,0.00021865614601948493,0.036379978080848675,0.5493838916185796,0.11913071790479955,0.0,0.03395464620879209,0.22419302243828904,0.20314401409157323,0.28453215323847697,0.26100850839698286,0.22868393857329739,0.3162838140481338,0.2502885156861321,0.15308536411359164,America/Chicago
puma_0100900,AL,104430,5995635.596569495,1607997.0359155731,319239.2784452759,3033.1227999616967,1873.0593507612755,7246112.970023808,2686608.0610767365,0.37766421858148014,0.0026449591700477633,0.06265728519336448,0.0,0.007729443788197832,0.0,0.5480458117199939,0.00015407529145909302,0.0011042062554568331,0.3782598203335207,0.005119567296474804,0.061574771761577746,0.48825181185781097,0.3900918526513888,0.0005308964313027958,0.03578030189209848,0.58695324504381,0.25918362289720565,0.0,0.07045760492538865,0.6937756816704108,0.42425372904484926,0.0019703638061258195,0.04353337177327518,0.37673724351455656,0.3921190534566548,0.0010946465589587889,0.02612002306396511,0.4306811444335,0.23073444247721928,0.0,0.0243786881930341,0.1757527094455899,0.1535052918611931,0.44495415939157323,0.42640305097479003,0.3296412278225943,0.4697574646242503,0.4193337230795787,0.2551131306702534,America/Chicago
