,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,17.934403438275798,1223.65552780327,-17.087223769439333,0.0,-978.5957680271608,77.19652929997763,-32.90687457947355,43.02092797660686,80.51968381885807,74.2844451569967,10.0,17.155206577804478,1218.2123009784905,-18.281232930429244,0.0,-695.8346920927377,57.931179160607726,35.13243618651124,33.9473916974229,75.25809981595594,85.9289916932581
1,10.0,16.940065893964313,1168.8905190011678,-16.73777666078142,0.0,-892.2446845802563,74.02163731169827,-39.127892073647914,43.94592736613615,83.80654583966816,75.73910631116121,10.0,16.828029139663364,1159.3241136532379,-18.54117204665082,0.0,-713.909934622311,63.886438415594846,-9.230866019535995,34.347327793618234,76.9927526807303,84.98696755061862
2,10.0,16.264601931615434,1140.1691558900018,-16.792546432896412,0.0,-698.457280321834,61.96568996236401,-28.49183024795367,43.38000440807047,78.04255223403092,72.12176991028088,10.0,16.686108243799207,1125.5052719899338,-18.406283466992626,0.0,-700.4214152779479,64.23177889783263,-30.228020781332006,34.86768697878918,68.32461260019936,83.7296540147198
3,10.0,16.063674449205767,1124.8046530308206,-16.330969396828362,0.0,-653.5875695555499,57.41256924701766,-18.742785945024842,44.609083776479224,77.10840289483073,68.91967736466866,10.0,15.774950948577235,1103.5810104102975,-18.142850174143586,0.0,-658.0929322937591,60.710334827465154,-34.28094084926997,36.96558334493496,68.75625378816687,79.00866268102952
4,10.0,14.937063359915522,1121.303830510339,-16.79617148766235,0.0,-361.26147366967695,40.41150954792659,-4.331707738011767,44.30646159778932,81.1474045441199,70.42773943669991,10.0,15.48495858898003,1097.278189311336,-17.598300575263917,0.0,-556.222545053771,53.03759273183133,-14.367015317305027,40.33051097819957,74.34307828377769,76.72734427537007
5,10.0,14.790204750041593,1042.4205060486804,-15.906047878426032,108.33481829058111,-204.26456010028733,31.33408654102734,2.598330055122117,44.71751368730874,74.68544739554186,59.783018789076685,10.0,15.474600559569357,1064.3412743675294,-17.518333121433315,38.59985129180676,-555.045964402329,55.051817128654335,-29.318695905560386,38.76998375083919,71.32754803132153,81.40935455712082
6,10.0,16.253056623846977,1165.647417382326,-16.055274997949958,72.70788110383636,-494.03346893094533,48.13854411045315,-16.287227169411892,40.89618770893228,80.79195877639015,63.86057137153646,10.0,16.25082923548909,1082.6031101371964,-17.458665673829458,56.72138059941027,-640.0722043218075,56.83694418302625,-23.5257343833475,38.97001372926224,72.54024983368207,89.92122936042342
7,10.0,16.159377133118028,1347.9874074848192,-16.838383609334585,44.32567571536625,-437.0374947292139,38.58802613071269,15.661478587500866,46.936064620845954,67.33512795324687,63.12031663620979,10.0,16.645846935261034,1166.3549241138148,-18.345006820629173,48.331904581650335,-699.3169751550366,56.05078879884153,-12.559094805655217,45.129761710941295,73.88747496740515,85.33209545611511
8,10.0,17.02825472228235,1429.9813256570594,-16.8905349627105,0.0,-496.74679002568024,40.75109248991071,24.004054071740512,47.648451883543245,66.93741308522593,56.40348795498088,10.0,17.124110029209987,1234.7109277355821,-18.892434372934943,0.0,-861.6778202830905,60.03363285441453,7.49250218850249,47.340531279842835,66.56775797480616,85.99508450666008
9,10.0,18.3,1439.2093656849713,-17.433745533151022,0.0,-582.6099183455833,46.10171592587433,28.53868287722465,55.415303838013024,67.71000995743853,58.21081493524602,10.0,18.101954105560583,1304.4025179995974,-20.181065570423197,0.0,-1034.8405557967321,67.48412017404942,12.429614369962767,51.90105661392749,63.18028384026597,84.22831149360161
10,10.0,18.3,1435.8734228435662,-17.963851464930677,0.0,-628.4661028493833,47.751455610086445,36.14326395259514,67.80926788833895,74.30204444072267,61.36858016642548,10.0,18.3,1345.3347601897885,-22.068996607787213,0.0,-760.778164187876,53.896116090868325,42.1992023948462,60.565887163702286,68.90383761925006,87.60359453661707
11,10.0,18.3,1431.8894415599364,-17.14779937956562,0.0,-679.6283886441261,48.800324323953745,44.26974995072111,75.34028114482386,82.02176062409964,61.33109889679027,10.0,18.3,1364.597795696539,-21.94315787475997,0.0,-711.2049131730688,50.75198898295849,48.98693844579045,74.60969904167814,92.52753291832491,88.27840398434486
12,10.0,18.3,1428.9443069200952,-17.375219885507434,0.0,-631.011879430476,46.58827189343764,49.945751425770446,77.7035082253978,79.98543494055954,62.012971085525955,10.0,18.3,1379.5357185902003,-22.10031601510953,0.0,-714.3616781351956,49.38035911334667,54.79922149064722,83.15293815779768,102.15724806569645,77.58720827758124
13,10.0,18.3,1422.5547507898796,-17.086016611118456,0.0,-746.3919093951108,51.30371432987429,46.337764033979035,75.89249722273307,82.2045988151871,61.03281606142154,10.0,18.3,1375.8159004884396,-23.423969209781934,0.0,-647.0139518929687,48.218547117182396,60.969443953601136,83.37227761304491,110.71106286132405,89.25078520012741
14,10.0,18.3,1422.35609519117,-17.599591351114928,0.0,-928.1697216441949,58.698355071524595,38.336580170738465,74.86214146006297,82.25639132269669,67.49281635011164,10.0,18.3,1371.0486561317966,-23.92545330382529,0.0,-608.045833499202,46.84320505563456,59.7147758559385,84.84823966925129,119.53008554417517,82.74754212866287
15,10.0,18.3,1424.7108923011692,-17.721585844448274,0.0,-986.1350081588103,61.18491895002449,37.865327765187274,71.7765087219773,86.30321216419087,72.11593304369183,10.0,18.3,1376.353810885831,-24.384658517212912,0.0,-615.4918049042997,47.50667186340768,57.384575116632035,77.1664622324559,120.31446469873572,94.13089307181046
16,10.0,18.3,1421.0612370118652,-17.826987139130605,123.37485408562797,-1023.0868155251636,63.866738960683726,37.667186290130125,62.83466902004892,92.39850915474224,75.14023418075341,10.0,18.3,1372.033765056528,-25.297993268791664,128.23130074116028,-597.1213015698326,48.90812429343151,54.38632191315939,68.00949634816583,119.82022863484188,90.83803179416203
17,10.0,18.3,1408.6356212392104,-15.014071902455994,146.79662095465957,-1116.2604895011475,67.41512173908039,34.55760801271852,50.65018200594556,97.02278214017414,77.1953495896976,10.0,18.3,1349.7705229564726,-20.84239068892453,143.49035229764098,-839.355748685156,57.74801130565134,47.23797633379449,65.34546642834461,116.86975261394673,105.7975631324414
18,10.0,18.3,1422.98987640338,-15.544317736377838,184.42384787877998,-1223.6691828994,74.4638258169962,26.016339359707757,51.90049718429786,94.72224217089786,75.1053971750131,10.0,18.3,1377.1018334417047,-22.20208321432762,161.1718152634775,-852.6810188032224,60.68997113622421,41.13097372474648,62.07689521690839,111.6619294271328,78.21341185038776
19,10.0,18.3,1386.3813990482354,-18.6861811609764,209.7327049046542,-1346.7059754649229,84.75862129986045,14.170104429893797,48.43089583436844,94.56213999438037,73.95201562340908,10.0,18.3,1345.5943880531545,-21.946409428823145,174.40098143264805,-1078.4082834436658,72.85970777820232,32.85397134485628,61.92385900646858,108.3801729488234,69.75708246230371
20,10.0,18.3,1553.822483504076,-19.85236579868668,0.0,-1268.4254709178522,79.73950613129769,3.3102656860892306,50.3036612542947,98.01944159266506,83.78297108084692,10.0,18.3,1481.1593685683313,-22.54562069883787,0.0,-914.6209512255999,64.707960428915,32.431220553734086,61.06936520168309,105.84871568460773,96.06626652424555
21,10.0,18.3,1507.1495515283214,-18.002057583447773,0.0,-1466.8554168071735,91.81937817281035,-10.023569471288555,41.69878163522782,90.68697189630217,69.9762435312985,10.0,18.3,1437.3626164140514,-20.595913567938595,0.0,-1128.5293284403365,76.1056142249637,15.427826558111816,52.278087208578924,94.87563973808582,95.86893086941903
22,10.0,18.3,1422.2153540990976,-17.594180181808373,0.0,-1271.953680601143,89.73922596986557,-26.016792199327085,38.11227427593674,73.94378733833437,63.56857987396247,10.0,18.3,1362.8807628640989,-19.700716663484496,0.0,-1109.8866425694764,80.31875229191041,-1.938112017806378,44.05025732152225,100.79870674626876,76.49640883796609
23,10.0,18.3,1321.8574769412412,-17.338964176031812,0.0,-1177.8782670334267,88.18697570552624,-35.90074681038151,38.4519671322837,75.31123989766371,72.21154053391986,10.0,18.15436924396635,1283.229852145324,-18.91561479441846,0.0,-1161.7085014201277,82.37786840583057,11.72536454256924,41.67348945523485,86.98586725322987,87.26568427118751
