,t.bpc.wk,t.bph.wk,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,t.bpc.wknd,t.bph.wknd,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb
0,11.132180490708269,18.3,3318.8545210628763,-56.084517543760185,0.0,-2047.1990706552315,140.6233460070093,33.25891251617211,10.232036109034576,18.3,3059.2579768761825,-26.75141022731975,0.0,-2361.854024818068,141.41884935587183,25.001251479607127
1,10.592139679006996,18.3,3105.341344926619,-57.563903726560426,0.0,-1505.7932392764428,115.8850819414212,29.601358111092008,10.255292312715033,18.3,2889.652245033586,-28.750101485700394,0.0,-2143.929452461079,132.0452457894266,17.126718515976837
2,10.047112707748202,18.3,2923.064980789596,-54.90166079798714,0.0,-1261.5532236888334,104.56124858356986,24.913248506297403,10.25504396455215,18.3,2844.5996045052457,-41.939055155692564,0.0,-1510.7289383504258,114.31020228290805,-12.225299722651103
3,10.0,17.570219281940876,2818.9445718425686,-54.505809512789,0.0,-1166.5521472541018,100.79290153183224,16.694836790839375,10.0,17.76057056800547,2753.330913685806,-42.29480117247923,0.0,-1445.5206129562825,110.91261091437812,-15.328825284213902
4,10.0,17.31681962248284,2758.1051740356347,-52.352268146988244,0.0,-936.1212163104364,86.65414041906239,16.585818945459128,10.0,17.68160102079872,2720.850348731422,-47.25913136946112,0.0,-1493.0252362834049,115.55541204657877,-21.33189153282557
5,10.0,17.269801586184172,2836.9728764297006,-56.4354581105374,0.0,-793.2736652998218,78.97422692669748,12.926781439240461,10.0,17.692603590028618,2734.9318499390574,-48.265262275056536,0.0,-1254.1638510155663,99.75113398285204,-21.073391117378534
6,10.0,17.40391511536083,3031.122551083384,-56.255900643984,0.0,-817.8124998155728,76.44716105204337,12.953894302191259,10.0,17.72791899664691,2676.671663462755,-42.84099021596658,104.35683689814978,-1018.5919686563141,82.65634266376534,-7.107748034544121
7,10.0,17.729756068727152,3318.2202768383877,-55.489036918556,0.0,-958.6597423548689,79.48906512956243,10.801945535483245,10.0,17.87241474744772,2905.371158654859,-49.219834841826774,0.0,-1465.7579112450117,100.11218139811774,-6.862104319197032
8,10.606770518489759,18.3,3502.8733112594164,-49.1790465014125,0.0,-1132.6687123345628,77.8481241686375,18.972735307678015,10.0,18.3,3148.842194656143,-65.9636971405,0.0,-1004.7010362741875,78.76047154590705,12.439215143408772
9,12.630484733221436,18.3,3545.1746285023446,-34.97162928790375,0.0,-1547.1462037577126,86.18095401819546,44.55639412067763,11.34410629909133,18.3,3335.683325981869,-63.5476872520063,0.0,-1143.0492159130263,79.73224531648447,39.95945258744559
10,14.11721476904969,18.876023798296092,3517.4199232460765,-25.249417713637264,0.0,-1548.7144625958365,82.0466470664037,61.552590450120874,12.527473246744709,19.073450283377362,2942.5873893046805,-12.116531367453954,0.0,-1188.2620801763114,62.29927268124581,60.527394528541095
11,15.260491299928244,18.3,3678.523423225289,-36.0758166018295,0.0,-1562.3508946313564,85.79267427958276,68.44139755136602,13.558559340485191,18.3,3159.1833404940335,-26.243017371482047,0.0,-1103.025855410208,63.578590273959755,78.90952587822598
12,16.12574402997373,18.952068559886545,3645.9083524370926,-32.02804716916149,0.0,-1781.8765299378229,94.02016061240388,75.52022293631471,14.38677108998491,18.90724236272065,3151.168934459018,-22.258123992019158,0.0,-1398.5668371736438,73.96990054621575,86.80582503320316
13,16.929892432716013,18.663785520659843,3777.9599089117623,-43.10616364680134,0.0,-1976.1924716766443,105.88379669757252,83.78532855406131,14.644741160962129,18.3,3513.9715698497366,-51.50192714736647,0.0,-1539.7734545575513,87.61458997699025,95.1609182857072
14,17.137764168830888,19.258839067084377,3585.830099058634,-29.406267843277003,0.0,-2391.1219168923635,124.15711604232013,94.30641041148601,14.858444807394434,18.3,3751.678144444227,-72.83431203503544,0.0,-1785.1368293771566,107.35136674497657,113.28552938455805
15,16.858567601546376,19.708433035947476,3473.1916144966867,-22.253073195628073,0.0,-2728.291671132972,138.4327037140226,91.5448597256833,14.582275561284407,18.3,3643.685316128304,-66.8791039547316,0.0,-2230.1623195884613,125.01007803243763,99.29143814975367
16,16.255396620655034,19.50348472183047,3498.5916969492955,-25.3012689178588,0.0,-3125.3550610619295,160.24598196873424,104.21793887396555,14.113089778244095,18.45093183479135,3514.8112190979846,-57.535674312601905,0.0,-2678.10399740098,145.1473574007307,102.08373442449738
17,15.39155246815323,19.599369373130273,3392.499531063001,-18.8012265597329,157.41551359913024,-3615.2026081943427,184.45504747467027,100.93698932787946,13.456161596422502,19.165517948776316,3185.6355177176483,-35.61113334507405,233.8743030352681,-3223.8005544042367,168.2083710453581,97.6920897043399
18,14.508812880438473,18.506003221269683,3186.6898579525387,-16.54772211648118,475.67246283768867,-3641.964436119341,196.79908149661873,114.58824143169817,12.351122751984763,20.87638716161059,3315.2347289686086,-16.360778642854743,0.0,-3618.573187695656,173.33330521623105,75.73183723290492
19,13.152496098182112,19.37024018276787,3956.632120173053,-40.24018600876213,0.0,-3884.331130062764,200.5308707280944,66.18755713545684,11.52219582132653,20.732153760096487,3459.3110519070647,-19.999061809313197,0.0,-4109.584693924337,198.22275782239865,41.30169543571075
