,t.bpc.wk,t.bph.wk,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,t.bpc.wknd,t.bph.wknd,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb
0,10.0,16.961622055838227,545.9095101283573,-6.939919905984454,0.0,-44.39976215290609,5.693735250185755,2.6624950516936305,10.0,16.61993249911024,545.3079457129314,-7.189662337187578,0.0,-68.16738118830295,7.0561501347846844,1.4597376584761472
1,10.0,15.890166370636019,538.8980932206731,-7.311153119784244,0.0,-49.19553189542371,6.43166649633518,-2.478056191156721,10.0,15.154714509967738,533.9447825670336,-7.3223671748432135,0.0,-113.60816968254929,10.531483729536754,-7.605877066244532
2,10.0,15.752564820431425,536.1736052241213,-7.383552235005339,0.0,-35.93667046127979,4.977516259986733,4.24711624495923,10.0,15.102611509633025,532.5280870916906,-7.373242853007444,0.0,-36.97957472866473,5.7437297696864125,-2.3862076762732367
3,10.0,15.620180045402757,533.6189054690177,-7.143526088125537,0.0,-0.6617727960392941,3.123207381151793,1.9342787651756446,10.0,15.241110917505791,526.7132667229732,-7.326162581097073,0.0,-30.009407806708623,5.792770247661381,-7.608875006166541
4,10.0,14.465853776634534,528.140877495846,-7.214159483595485,0.0,-26.67723151395745,4.043828671615172,5.843854235037376,10.0,14.334147611772273,523.2261649867919,-7.370321309513715,0.0,-21.5132023140676,4.838306480931397,-5.484422526140286
5,10.0,14.389036681448143,481.7140478904471,-6.484844533646299,56.31295486205909,-28.97218337730203,4.681893629427699,-0.9613566450371174,10.0,14.388122222346528,481.16857940041314,-7.009118952378058,46.34506898366408,-5.378527611776107,4.558516237077747,-3.5892474676659316
6,10.0,16.07638662978652,518.3311048195754,-5.809195271415923,42.429771586126655,-1.0887478590859274,3.287761952837217,-2.1577738897661853,10.0,15.60923603217076,515.7239973232927,-7.009123833254407,23.97147345790132,-49.441047043142476,6.377889175320619,-2.4587890483896184
7,10.0,16.56848431863227,561.3197865501295,-6.204369448655288,72.89746748995326,-48.2412468481394,4.6652416681057405,-2.1778585408026285,10.0,15.824258885009758,537.4278926166517,-7.272486186115009,24.751025749829658,-58.122068692471544,6.125995303080681,-0.4380797432392596
8,10.0,17.237281346805865,584.3884764012892,-6.874236906706011,0.0,-51.38329097892854,5.181979094060886,1.3043127597383626,10.0,16.1271142430831,555.5016367517201,-7.276526785200209,0.0,-47.286319418198076,5.1176155207668925,4.453724374894472
9,10.0,17.8491355584994,590.6205222090748,-6.950085015708199,0.0,-25.23792164508405,3.8608196006493998,2.242224681885772,10.0,16.848986221080903,572.5670386500078,-7.817166091194583,0.0,-68.90679278527034,6.260439100509106,5.565297415644464
10,10.0,18.3,594.8622281712643,-6.483670790764229,0.0,-76.6658513787373,5.673035469245217,2.3442598666902494,10.0,18.3,590.4090982536381,-6.71788154401394,0.0,-47.82138720359971,4.001168059487104,3.627589772180175
11,10.0,18.3,595.8509825840404,-6.064235953572235,0.0,-86.04381985584068,5.888784075315733,4.468438348097257,10.0,18.3,589.5064248176137,-7.142108887787579,0.0,-41.05136764179579,4.230769327638522,3.9777332717966374
12,10.0,18.3,597.9278583083957,-6.194415137173998,0.0,-117.21377022534242,7.203085432784963,2.649276281649212,10.0,18.3,594.0792675824698,-7.417522111155551,0.0,-46.6088307664169,4.536810194534825,4.133434672606549
13,10.0,18.3,596.9613030918767,-6.181244772455513,0.0,-128.0160525686794,7.5006369764175576,3.356719119763445,10.0,18.3,597.2239479520542,-6.679587004215464,0.0,-47.41336009820804,3.756450683617976,3.9514877910733532
14,10.0,18.3,595.6987384119452,-6.2653224714686,0.0,-129.44037620919931,7.719009617304236,5.183807939359573,10.0,18.3,592.7668270076756,-6.841334835796167,0.0,-45.75043050186558,4.017683860193296,3.842360323640942
15,10.0,18.3,593.2823425812401,-6.4053680318440165,0.0,-123.41393697535008,7.706543906877811,5.642000171186418,10.0,18.3,590.111666367681,-7.043736727070982,0.0,-73.2966547532072,5.234813758508396,4.265914956003284
16,10.0,18.3,587.7124606754968,-6.599214006370746,43.63619476518202,-129.1092407210967,8.344687185859637,4.2585051277223345,10.0,18.3,584.0297606008983,-6.54630068371513,29.88310853329297,-97.71914583024144,6.19867610872642,4.199853945573599
17,10.0,18.3,576.4280883776946,-5.158707714377449,48.435369836198404,-121.05856669861785,7.591308535027151,4.785998917553719,10.0,18.3,575.1112248620555,-5.49395575208065,38.74964076615712,-113.0935368312805,6.8013053060222,5.638349276754409
18,10.0,18.3,576.3369195594777,-6.072896295901867,43.80397334689925,-77.19273654195857,6.975033126559053,2.486335251917571,10.0,18.3,572.0366024969759,-7.204504886625303,33.47754685082712,-35.46692543518694,5.476392808313547,7.3498810467794415
19,10.0,18.3,557.9521654852388,-6.5485479212917825,55.06159028247305,-134.13104613212238,10.454424470694274,2.1249678582374583,10.0,18.3,534.1485875321341,-6.892179128026455,70.0046361846568,-37.548287753215334,6.841516586166818,4.0006663030553336
20,10.0,18.3,510.3441426687506,-7.263773482235635,94.41769788466151,-140.60533297782507,11.38700950376635,2.2170700392969476,10.0,18.3,594.4155238315187,-7.449168809574471,0.0,-16.531312194614898,4.3464767959838495,6.904858676459427
21,10.0,18.3,597.7694348264802,-6.8528895905608245,0.0,-40.438968286116776,5.2680330563261855,4.830281356859175,10.0,18.3,585.0186974482424,-7.223117138774576,0.0,-0.48088860338222617,3.685435592040166,6.4129720869178914
22,10.0,17.427188942756846,577.3010290815073,-7.310854400730123,0.0,-59.04371581763908,7.616860503651735,-0.824446033251953,10.0,17.427495261561674,567.5191367914999,-6.930815351236122,0.0,45.618212095357784,1.6116220595238575,7.32045711516249
23,10.0,17.10706376569407,558.2497430041052,-7.406426535263527,0.0,-90.15219754787682,9.05959130625374,-2.108137216543969,10.0,17.140340955418292,554.7149868739716,-7.117623741289472,0.0,-15.874779291538033,4.465396221689413,8.03706143164176
