,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,17.338310854406195,1712.586968685678,-24.266890102901566,0.0,-722.972155145958,57.148349378589856,22.413455449362317,59.00119812898429,71.00022196620021,40.27587018347304,10.0,16.874207952071554,1680.3285282410197,-26.14303505134762,0.0,-1075.3281217216395,76.84957895314793,1.5445473254176427,53.16847036642749,48.40385140870245,53.46474134389454
1,10.0,16.58641408597567,1645.1165391417978,-24.649402968433247,0.0,-548.7410932345965,46.81752208823842,30.595093974764204,58.62952554770513,67.84717464412174,40.76473561763922,10.0,16.392619592878102,1607.9971827637942,-26.51263520204968,0.0,-860.3654883662052,65.46463969937143,16.258121394031797,52.86663388351258,50.29090386405183,62.28126551949386
2,10.0,16.077610397545048,1610.0988503630988,-24.76676481912994,0.0,-358.09684949094463,35.764391484204644,29.11984573954441,55.98489376558351,63.264176669508004,36.34885271534566,10.0,16.286800838586217,1568.3601562644985,-26.481558165669966,0.0,-759.709480610991,60.155629420994416,7.475532440295895,50.10627572752137,54.422442433253345,54.19582939382973
3,10.0,15.969838960137503,1584.9690834477665,-24.366701002585675,0.0,-436.0751036792451,38.57918670049436,24.576084534277758,57.022553668857206,54.176447661278914,39.03145463192429,10.0,16.24012853483039,1543.0839256481356,-26.20840529735303,0.0,-724.4676008232115,56.75752318718726,9.938318215361603,52.23079111775234,53.52742034999285,50.920158020434506
4,10.0,15.508704342042785,1577.97372600754,-24.754075829474825,0.0,-366.5308286190587,33.44737606305186,37.00335651236382,58.80969419143878,51.59562476941515,38.87336511438916,10.0,15.640677382195735,1527.074389640654,-26.116402249443194,0.0,-623.9646531591732,50.43881977026371,16.856007419098276,54.94327115640301,56.51813518824338,48.406566113346116
5,10.0,15.014842402134862,1401.9576674032505,-24.34790106384506,212.2590910184231,-210.0798596230494,24.555911091914144,49.73911898016203,57.685733285235635,58.79150692648663,64.17188978684406,10.0,15.681744687450369,1357.8020097951114,-26.022894233847104,179.90417316435853,-491.75355952678814,44.084600308748755,31.137872545893128,54.42523193865784,66.75614156228441,57.33744040071098
6,10.0,15.732779574806187,1644.9568720008083,-24.477168968821342,92.21278396474565,-422.60975775827006,37.889374481462404,20.171909130323783,55.90589452406188,55.14042015164101,46.66859712635524,10.0,16.446733990077604,1505.1504497546716,-25.862149360549296,82.68745108330641,-734.7869237286685,60.600845464838045,-42.13043427588448,52.09403984269528,51.43435056194464,52.02780174750358
7,10.0,16.068866268528204,1883.0962341332993,-25.911292259492125,113.24420571239354,-477.7050308049957,37.661556866521586,18.215976093708708,62.91650932073404,49.7185680307275,32.913315941697164,10.0,16.38776433513221,1623.6892173509764,-27.814213956701067,110.15121999552287,-738.2952897714429,56.145978623597024,-17.466260178351654,61.93162120709097,46.232796523044314,45.44939880716847
8,10.0,16.82460397569606,2000.0001017655732,-26.063119238852842,0.0,-572.3925697397833,41.06762466689459,40.35614313675812,65.202341569663,50.81858494889697,44.222319708000036,10.0,16.81599750829409,1720.7277059206256,-29.037869450372874,0.0,-893.8088381565562,62.05576161964252,-4.723554238029586,65.80738572670852,48.042490015846056,47.49465479327056
9,10.0,18.14462127087647,2030.048936847058,-26.618046743771483,0.0,-653.943680681283,48.46631347151764,36.73395920837727,60.74062706642115,47.754282327967374,41.97723151902597,10.0,17.975738017845643,1809.0912176140152,-29.99552465800961,0.0,-1107.745362462853,72.49732096490753,5.0637379452677855,64.34800756798651,56.09765880940188,50.030839713606156
10,10.0,18.3,2055.4394007140663,-26.686547283050704,0.0,-725.0668913997986,51.63332658076551,35.713989189825504,59.889895267021046,54.1704477783344,40.340791660144006,10.0,18.3,1874.6870957144636,-31.62714596457514,0.0,-983.2664542451828,64.41422151019081,40.63581921575927,65.03038466411282,66.24867737658464,83.11719611945668
11,10.0,18.3,2072.2477744015177,-24.77762288152863,0.0,-784.6971876623762,52.26488977254811,40.93312603588963,58.59625597189083,57.32610262084016,45.256520580270134,10.0,18.3,1908.410213142488,-29.661084741079534,0.0,-709.1981521982914,50.19829018788199,54.458831230815235,72.0744511113959,78.70897956373292,68.53269420244011
12,10.0,18.3,2071.264545990356,-25.4146850136825,0.0,-918.028842303826,59.13625018278126,45.19876528982761,63.64507790330172,61.788286982976906,53.46947485931999,10.0,18.3,1926.0050069467725,-30.90201473199646,0.0,-672.8263608310226,49.770215221722964,59.42051579170535,74.50090339786087,88.73555805450584,63.97720001046703
13,10.0,18.3,2056.5240923827837,-23.949000577778353,0.0,-935.5674204009472,59.78913744284936,42.41742970025131,65.20026262741798,67.3686457904535,46.890835662899335,10.0,18.3,1920.6995544942336,-30.767849779019432,0.0,-732.3797490432728,53.74689997297351,62.90036758156096,72.12420031371565,94.00725909048191,72.03053517686682
14,10.0,18.3,2047.5056894048166,-23.53154106973822,0.0,-1052.7261734904343,65.32572277804285,42.43475327765572,68.4086379078744,71.71159076037011,47.30675467399763,10.0,18.3,1908.5691990017044,-31.092987823183908,0.0,-749.5811138910046,55.3928913054615,59.70508849220555,78.28704874432769,98.98768127831552,73.29247815207884
15,10.0,18.3,2032.4952447793028,-24.120760793149305,0.0,-1128.3718243653423,69.48831983593902,42.59008457560168,70.51825105262854,72.02069817028983,52.112810822009855,10.0,18.3,1904.3834611615387,-30.670709125310903,0.0,-904.8750005881515,61.22107105297121,46.594660048899264,78.39829488415177,94.54127245168212,73.67653631062362
16,10.0,18.3,2019.714457330689,-24.742784392959223,71.47057862713618,-1161.5299630526965,72.0886440151118,39.85006916903638,66.94980856907048,72.69753238839357,54.33582720736901,10.0,18.3,1909.8626037054976,-29.900184197697826,34.96095404905028,-1007.3093648752599,64.8871955103613,41.3388945201403,77.97964407194591,94.36314588068498,76.7865216769799
17,10.0,18.3,1974.3729376342244,-22.35434106510759,133.23664121341676,-1177.571238709526,73.13540946618375,36.88222970815792,60.51647254659394,79.06655805081027,55.25678925731111,10.0,18.3,1886.4676869139143,-26.879059490853066,89.7821062265993,-1068.5957275069254,66.94627542915626,36.30773593001361,73.21394489438534,94.7277474537098,80.61789626754143
18,10.0,18.3,1957.4335221449605,-22.181975424880918,202.0512770838488,-1184.5493868643302,75.91349899152605,42.88752756750807,75.68720865564653,89.06057486254737,61.249327807190056,10.0,18.3,1898.6429337541683,-29.451084548728026,137.4639589833856,-1160.7281469210748,75.56872206182616,32.58904091987427,79.35228818233783,94.04682639650923,73.18991257866429
19,10.0,18.3,1910.8978387641073,-26.32984811002577,241.35746642697225,-1200.5639504988644,81.35085281503706,34.87123318061703,77.53538326918563,99.49001556373227,60.798600056571644,10.0,18.3,1829.23502365577,-29.660698313368098,205.61216818014705,-1274.984067809661,84.34273179777072,19.041672928628277,71.34110426417116,105.0920888318386,59.867589695441524
20,10.0,18.3,2109.7342474559555,-28.61797695432728,0.0,-916.0558468982056,63.94500625238021,42.02326549174299,75.88821375975118,78.54829143237035,67.2167147988751,10.0,18.3,1995.038665175808,-30.397923259020587,0.0,-1096.1055076238426,72.90982676756585,31.16681881871962,71.03511136136804,81.13768485269827,75.47258578206888
21,10.0,18.3,2057.594948368118,-26.425035166880797,0.0,-954.0591025920273,66.98319662501595,26.67228524360265,65.06317077747734,72.7124522913203,49.81867551680458,10.0,18.3,1948.517355696209,-28.788210540093175,0.0,-1122.936895503529,75.73417689253093,14.007523928095715,59.97974166424103,73.21569500280303,60.48790842920024
22,10.0,18.166599708050466,1957.5684642320173,-25.449420787456585,0.0,-678.7896084316377,57.42113299513036,22.815978586387047,60.9540753917736,74.75576497514659,43.44326726245969,10.0,18.3,1863.7025775610523,-27.570193988829907,0.0,-984.2453262554241,74.1563760160387,-0.7822022465316918,56.893109822902915,77.61592018598893,43.62504904798238
23,10.0,17.47840032437807,1829.3049772371626,-25.048252736320617,0.0,-613.3267346049117,54.12842586538707,21.400037761294097,58.278173132442426,73.21706871296675,41.407224894159036,10.0,17.368618276809126,1759.657309180001,-27.438863070425075,0.0,-997.4019190617448,76.33905284588043,-11.874001696598837,53.785804946190446,71.32116102810846,54.05632806264493
