,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,619.278446318207,-8.810317087194742,0.0,-825.5247616490188,50.48458936650067,0.9748574158114194,15.909139716315416,37.87045615838726,22.077669027504676,10.0,18.3,628.8551204747837,-8.313695885273374,0.0,-650.3620065487999,41.61035410892116,2.6968650502229012,15.390732683834175,29.657349892141998,13.128362336280418
1,10.0,18.3,576.8921957620554,-8.608104271800425,0.0,-812.9245944954725,50.45634569679824,-4.075888575412302,15.269179620863854,34.347919131753216,21.367996777188015,10.0,18.3,586.8183503482055,-8.437790957902434,0.0,-721.4893328862925,45.49001793708541,-6.3022452680949375,16.27672553459087,28.612624049370318,21.391470721772613
2,10.0,18.3,554.3470339357873,-8.59416789643403,0.0,-784.8747787051168,48.55390692949383,0.35542844488863096,14.165749039235672,31.98733494039434,22.941604084588278,10.0,18.3,560.2189126038562,-8.409169119305004,0.0,-780.6268218470564,47.79034268513467,-6.820122914452851,17.33917622012089,25.3540535403155,27.909792795083007
3,10.0,18.3,540.9067797383549,-8.358397095578955,0.0,-722.792595341587,45.225664949395274,1.2072765481013918,14.52235580903493,30.67060824790496,17.648293511565164,10.0,18.3,542.4530627024978,-8.491706202146572,0.0,-739.688048940619,45.96645677389162,-9.23915741359146,16.579757426939395,20.47152743291838,24.24214827964466
4,10.0,18.3,533.305871143443,-8.244047465814514,0.0,-660.7642312082941,42.57782062992227,-3.9856629698699075,15.131922327069068,29.880666366395104,13.956752775866306,10.0,18.3,531.6671543481547,-8.501624818646297,0.0,-703.2415395200132,44.579115027180244,-12.213606599975451,16.386287763799164,17.98057580764967,20.683696104135482
5,10.0,18.3,474.26634251303597,-7.951173441735935,62.137449970594886,-637.7217592703455,42.025385501382004,-0.7092821560226201,15.224622737865966,34.9079696453673,24.104456478553992,10.0,18.3,471.9452244874509,-8.600929887332953,53.06591087594064,-686.002986781441,45.15063333853178,-12.929104541189693,16.23575011694759,23.973648937874746,31.21443639895719
6,10.0,18.3,557.9098027676795,-8.180637182354527,14.690107524944994,-613.9279242587538,40.10896656128138,-4.883798479540681,15.671307186971537,28.004828146242325,19.01157018291545,10.0,18.3,535.3673016493896,-8.839603107077258,2.706308857721498,-522.0295196449683,35.41415980567361,-3.443787944067211,17.356594827892764,18.83128194178805,18.15527153804245
7,10.0,18.3,639.6579095194687,-8.654176229472908,0.0,-593.065875015702,38.078930726404835,2.238497201113535,18.371682425492047,25.036188009333255,20.54119084384341,10.0,18.3,563.6804628201022,-8.830527672962665,0.0,-527.012512154786,34.437408889757165,-1.5387764098870518,20.1271432363232,17.176229074701343,16.74236029549011
8,10.0,18.3,699.3296151415786,-8.854746591769178,0.0,-521.8722338984004,33.855881892090125,12.687532960268497,19.1594468958448,26.78984607997656,18.709442793666177,10.0,18.3,592.9868950768159,-8.73929947878112,0.0,-551.8304392897221,34.40285646108516,4.802426816630987,23.374860759764726,18.188065220090415,19.35945531264934
9,10.0,18.3,719.4410692304281,-8.594118690672396,0.0,-553.2691053961133,34.48403133031721,16.421930243962823,18.794199295481036,24.970921597429932,21.203473587621883,10.0,18.3,631.2250118216407,-8.85666511275034,0.0,-567.492683723292,34.47550535797531,8.603855215849011,25.675101048138053,24.56634043394738,21.042459683529792
10,10.0,18.3,737.397932692091,-8.129082281817771,0.0,-533.0155252266235,32.91174619109018,19.184233420568454,19.763113110558816,29.862172063745124,21.753733097311326,10.0,18.3,666.9881073056796,-9.879968519540105,0.0,-676.3015858896346,38.82612148924994,9.970145326362008,25.450621617686867,27.821639674654296,33.01773912144467
11,10.0,18.3,745.8622952970893,-7.397277888767621,0.0,-541.6566711264735,32.72502047553653,19.6262042567037,20.000721014267512,35.82831216427326,19.16087648044927,10.0,18.3,685.3904013763665,-9.340289549574976,0.0,-647.7925627956713,36.37260453656716,15.470622281009465,27.543019529393636,36.18037276918133,30.23380573481355
