,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,1010.9792944650543,-15.987290941594033,0.0,-1096.8378733236304,75.11548524099055,-10.461175068669823,26.659791189331887,57.69278106524459,32.64468662483912,10.0,18.3,1014.8715296291206,-14.895109644030375,0.0,-1091.0479003828764,71.67481220685495,13.522991912628795,29.32948544162211,51.903533014063164,39.552179326087135
1,10.0,18.3,952.0914727576163,-15.669752817377484,0.0,-975.0689120594668,68.94706164549741,-10.189192745977973,26.590370141712448,53.523732786048306,33.6326583928834,10.0,18.3,955.072563664928,-15.31681727337526,0.0,-1047.6754089441595,69.37222264679103,18.044174544361766,27.165880194701575,50.685701730376216,43.58221774599224
2,10.0,18.3,920.466266797169,-15.705297384640094,0.0,-847.2410902210954,61.57353447464617,-7.79635404914198,27.052414015982027,48.663367813636796,32.33236426522132,10.0,18.3,919.966395639138,-15.606095430317149,0.0,-936.6313655439777,64.49777962114881,7.277505338981553,25.23206880628587,43.527083703433256,37.67680087446844
3,10.0,18.286368265250882,903.769999808148,-15.982326596260254,0.0,-783.4972098494447,57.53235736929379,-3.4160293937026416,27.039259460356593,46.78207803079607,34.26952949309078,10.0,18.167328259715116,898.7511070373821,-15.825142082101163,0.0,-846.7092238819228,60.49002537118977,-2.5075432186541735,24.940866953375,38.41165859429363,33.73456488919439
4,10.0,17.926925754675985,897.5106032977206,-15.83534708926501,0.0,-648.6345458878463,51.01832387905572,-9.410095240336696,28.877822099815656,44.402244121362365,31.608695224128883,10.0,17.80238734879495,886.3169169466539,-15.670891761235469,0.0,-811.8888506554072,58.23078445677267,-3.7749572514506995,25.25492714354179,41.22791941780467,34.45945375275723
5,10.0,17.287525851852187,806.4915904959844,-15.456163065897561,101.3133585597161,-522.0188017664293,43.84951164242208,-1.944938696377278,29.56372899194235,42.690158470021814,38.72914636962462,10.0,17.246714022156873,884.7052452540438,-15.308298573376186,0.0,-722.6872485317972,52.35136519187089,4.899000755981824,27.700291782886875,38.69364999995162,35.42008917433082
6,10.0,17.881937400275724,914.104383547223,-15.143320408721207,57.79145321960639,-589.0328079338556,48.83889948116284,-30.817375129603438,27.592033924095364,38.46492694208811,33.54773884929404,10.0,16.98259827226418,863.5038636549641,-15.1708227451269,47.73610864293275,-649.1303129380167,47.585385582731554,11.570591157755686,29.120601074261245,34.26687321351234,46.08463080211328
7,10.0,17.987240208296388,1055.160684429212,-16.377999068071766,18.79028047988016,-581.8191775311734,43.226293608623415,1.2274980982387227,30.965381059788918,32.57237763498769,33.43195928254203,10.0,17.258432640895787,942.875339469939,-16.209399014513224,21.935957947593092,-637.8409045280728,43.415470472224115,28.180801391732995,33.07227455745315,23.89909443976463,43.72958960648228
8,10.0,18.3,1126.419237415353,-16.52942826720067,0.0,-688.0351687055847,45.84506596700862,21.33400314500174,29.66089523031998,27.666909726680572,39.99231509143411,10.0,18.3,998.9356832994508,-16.818172426812232,0.0,-650.9398835205044,44.62713497314348,19.772982497053825,34.13759189816469,30.61335976939315,31.327866100838097
9,10.0,18.3,1155.7535978927797,-16.655831037199064,0.0,-660.1056004412442,43.999010488672376,29.18627082112504,33.73672382344178,37.63363414358893,36.06439394768381,10.0,18.3,1057.6584201001006,-16.94502748015705,0.0,-837.4074759298385,52.23211577064638,19.3153172282134,37.098074067539294,36.10434184460712,36.20929068666356
10,10.0,18.3,1173.3240586529587,-16.14103657031381,0.0,-639.7252994435656,42.802537510477,33.71692059998072,42.70305772035909,50.826347577597026,36.770169557947554,10.0,18.3,1106.4064385706192,-18.704914819430783,0.0,-901.7894229239939,55.38888610952338,26.303698210801528,44.8682871629609,43.20984534728476,43.9801604653948
11,10.0,18.3,1177.9196254275937,-15.407380794552076,0.0,-647.6661418368069,43.30167667022457,36.35613591421601,48.2280139237938,55.72215918225445,36.64731375936319,10.0,18.3,1130.3540679032217,-18.711914992596398,0.0,-793.8307473630023,50.63756745260347,45.90279843063155,53.339765921200325,64.10743499825914,44.346072289917814
12,10.0,18.3,1176.9122867927226,-15.59467723176039,0.0,-785.148007029415,49.85651577065313,40.88114574053165,52.1497330613355,61.02102117337033,43.45249869306721,10.0,18.3,1140.9960058196586,-19.16566396262812,0.0,-887.4542096614887,54.70133385394868,46.95517193403461,62.38516908629382,77.39518502139401,55.35041334549297
13,10.0,18.3,1169.2851852842307,-15.713006197860969,0.0,-868.8435232314183,54.49008976858834,35.15010710569858,53.30431464709823,67.89806477597563,43.475261251806806,10.0,18.3,1145.8460854413067,-19.85183833445894,0.0,-915.6999615585424,57.26964347754483,49.98473477249125,65.68292892061551,89.8117907258119,46.80858923202563
14,10.0,18.3,1172.3663305066236,-15.392247540070196,0.0,-1005.2532044317089,60.37122996970658,35.080175258920086,52.85332823630549,78.61359175713987,43.87325537383884,10.0,18.3,1147.3400528878697,-20.902370364054708,0.0,-936.573527544248,59.49505444489615,50.59442015613072,63.22977530228694,98.01906594613409,47.029985395073645
15,10.0,18.3,1178.1130628295302,-15.612854281432009,0.0,-1174.5098504681364,68.1897461736572,35.58351520662879,51.53491299901821,82.83517865430127,43.71707932923548,10.0,18.3,1150.754346628234,-21.274384315295894,0.0,-1028.8045653159472,63.84266818006183,46.84053031943694,56.89253914827239,99.22235984128473,60.26166544126608
