,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,18.3,5361.055794613226,-71.84341854980961,0.0,-5903.562497268892,373.58340212805933,64.90414129697646,112.43522572526248,267.72136670994416,172.45174822171444,10.0,18.3,5314.8537257607195,-59.45856773243157,0.0,-4899.390656452224,313.09868538961877,84.15559703803908,142.45786110539413,222.34389414351693,128.78216454562363
1,10.0,18.3,5026.115836025728,-68.82840490493528,0.0,-6041.381066550452,382.43221310487854,33.906071903300656,105.68751442512922,254.015222459772,164.17250557364582,10.0,18.3,5032.577219928685,-59.8289464015096,0.0,-5020.114354229813,325.0481605126548,22.40519269836228,129.57606299596344,215.54307340486966,111.7040914186056
2,10.0,18.3,4818.008101449343,-68.06992528662444,0.0,-6021.5167344934935,382.1458018832615,0.01969287658221925,103.67518539964843,234.83054725474645,156.24258236007066,10.0,18.3,4826.454609677151,-57.16858761352413,0.0,-5179.336926351303,331.84987955625644,-10.590630445275254,123.29248188327423,199.71517032494017,111.43703947864145
3,10.0,18.3,4690.409082375701,-66.88087092176947,0.0,-6169.418083708234,386.5490151599659,1.1689242493810654,103.67825738183163,222.7609503099494,169.24873366170178,10.0,18.3,4679.254793059569,-60.62639450467183,0.0,-4944.477941456275,325.12701528799704,-19.66603766299754,113.08453571977213,195.85234667506708,118.40424941817611
4,10.0,18.3,4626.966649558211,-65.35064593454467,0.0,-5829.792384312948,373.96315448313226,-35.12413768179527,104.41313160424723,215.7621214154801,143.45995735745933,10.0,18.3,4584.201979161181,-62.917364784483,0.0,-5141.730033962351,336.894630282981,-29.70726223735239,105.63234948424721,207.14455734962968,153.8308315861351
5,10.0,18.3,4297.794975364423,-63.24433123611865,335.13773682600464,-5322.242356338267,357.79998514626703,-34.96233001791878,109.30346952006369,224.0472337277775,167.0095140879522,10.0,18.3,4524.017156011247,-58.21213874156038,0.0,-4806.796616535849,326.0564422356383,-66.64658596178944,119.87679719338873,208.86503368263618,117.25828544598738
6,10.0,18.3,4793.639392369336,-64.95046370698564,100.62704143441984,-5270.895642244926,348.9713055431881,5.797041223662281,112.34235748645689,257.42939945332796,192.09357548139178,10.0,18.3,4566.37043900956,-59.18889853110945,27.590268480113274,-4535.15835563789,302.71500930694145,1.138619041193351,129.0680511007447,191.97156803533977,141.27960784384834
7,10.0,18.3,5384.769706001948,-67.67576645658528,54.5332952883117,-5209.194167972112,342.0368646794682,34.33571036673841,118.88352300149184,239.2935317896504,206.1822666244551,10.0,18.3,4746.509475064289,-61.763871750104435,75.8139523046625,-4580.064064707014,300.5044521927298,11.308900366452026,145.8618015310477,185.34806712708334,173.7033264669327
8,10.0,18.3,5914.998072826378,-69.44363291893544,0.0,-5104.51095880908,329.67829448460145,82.68251473974688,121.76758837612358,199.2038284257594,216.29462356005533,10.0,18.3,4978.423514464452,-62.82418831985243,0.0,-4599.868362378695,292.63657377777685,45.16668292306036,166.370632476352,214.69847024185353,175.38124005213848
9,10.0,18.3,6269.568938464828,-69.2243713006132,0.0,-4470.2027423362615,294.4127943144148,110.63708826888904,108.84173785807243,204.0113956268548,168.65263468584794,10.0,18.3,5276.0468545711465,-63.560978992348616,0.0,-4446.409542699085,276.0327215537595,104.35455667350698,174.82326121773244,217.8363285825502,160.44495543532722
