,t.bpc.wk.c,t.bph.wk.c,i.heat.wk,s.heat.wk,s.dark.wk,i.cool.wk,s.cool.wk.db,s.cool.wk.wb,mrae.heat.wk.mw,mrae.cool.wk.mw,mrae.mid.wk.mw,t.bpc.wknd.c,t.bph.wknd.c,i.heat.wknd,s.heat.wknd,s.dark.wknd,i.cool.wknd,s.cool.wknd.db,s.cool.wknd.wb,mrae.heat.wknd.mw,mrae.cool.wknd.mw,mrae.mid.wknd.mw
0,10.0,17.621628906830832,1020.7698680492485,-12.416407629090466,0.0,-372.68292438047024,34.12994677918954,27.553218183799462,31.749020932012172,42.34495124835518,33.32012051464702,10.0,17.925123251076347,991.1730302109241,-13.205726676307238,0.0,-747.902021660022,52.83365517822223,25.304027489047122,23.811442369134266,42.00006454869607,31.628574936486004
1,10.0,17.107386068758068,973.9991237058825,-12.676686480005092,0.0,-326.8292030054997,30.87552032847665,27.48264550460796,31.533318181304768,39.09245871577416,33.66555871569831,10.0,17.589850802397017,942.7795878721155,-13.298035577439187,0.0,-554.2327099000632,42.704496490125045,31.30303731597527,23.141944995286174,44.13262860695771,30.86456652858801
2,10.0,16.73499021434921,950.7833974342283,-12.757356163722223,0.0,-291.8413665455393,27.877619261537088,24.348008455417578,29.926363073414283,35.651641935154814,29.147418094015997,10.0,17.509913711241783,913.4149634589294,-14.075544608120168,0.0,-444.3011623563158,36.87176872094137,32.84808933299891,22.20760268409505,40.13526844623097,37.5007718752638
3,10.0,16.711637857968807,937.6476244134253,-12.684078462270978,0.0,-323.521294963624,28.562952531968747,21.115749026052676,29.6361428928042,32.76614573477108,25.717373164012514,10.0,17.002845678787512,899.2926619301643,-13.756044396494714,0.0,-394.574365093761,32.84499466103801,33.292542071679485,24.650698341399764,36.42885175386809,31.68296093740948
4,10.0,16.32715068187704,936.1994865638395,-12.802797850838326,0.0,-314.37353176159337,27.340378130538564,22.784762892027643,29.302699334858396,31.828265940485597,26.054602333880727,10.0,16.627007084066808,890.3294536547857,-13.970774937255397,0.0,-338.7568165054118,29.658108468431365,32.00241136317092,25.463610529689937,39.029825286746416,32.466249420889774
5,10.0,16.00952342729591,849.4529203277268,-12.193856714266207,114.67409921251235,-274.314319124687,24.14641030603071,28.103252717202334,27.43490744245746,37.8275854699386,34.77776886068607,10.0,16.35059337678651,770.9235065950348,-13.887286764791272,128.0984560113719,-265.60361906643436,26.194146603890278,29.527981117177372,24.96345274187073,56.62198518659695,44.09181589169183
6,10.0,16.22178810912389,1000.6827780699574,-12.76827844695307,40.40177111093577,-324.0319278098567,27.07514660554939,15.163500035608173,27.245193250826777,31.18900094424927,17.27547426941828,10.0,16.667837465717415,887.596941970945,-13.388132204864608,48.4638140626253,-468.4252229143683,36.24770410468723,6.575425313611132,25.703076251327133,39.47311721334919,23.520605734518327
7,10.0,16.39438406593235,1133.7165009731123,-13.746353294054005,45.11705581536338,-434.82163449837753,31.07892811406825,11.921915985744386,34.22142628883123,25.138159766173043,19.37792297034476,10.0,16.718111657599355,960.0873049639365,-14.949242723740268,47.5083455925474,-421.9939160658618,32.0218233854692,15.74803089408204,34.85146911098552,28.40811200088777,27.846687300313008
8,10.0,17.376451119258284,1203.9830977661354,-13.520405317345288,0.0,-527.7780364610541,35.65584784319098,18.058801997575916,35.987722188569236,27.46870181506728,23.115653165339893,10.0,17.452775742229,1010.7577178047185,-15.499187548569228,0.0,-583.6134197018187,39.70221395276346,21.662272333781768,40.01484768605537,28.388877042036484,32.50518323809061
9,10.0,18.112240555173834,1227.9105739059428,-13.618379971223327,0.0,-570.5191734936118,38.635304220897986,29.140892856471094,31.827189987466856,28.627605614680075,21.512932755146572,10.0,17.9970290278874,1059.2213088945916,-16.679757695182726,0.0,-726.9338555233583,47.53761741930525,29.10500495121289,39.76931192461888,32.007436556516176,40.491629692051795
10,10.0,18.3,1243.8658243963885,-13.532858753793946,0.0,-534.0432146234552,36.86952381291076,39.64832020504114,31.02408510455415,29.584462866566287,24.197947069121767,10.0,18.3,1101.5420130349057,-16.35633950600819,0.0,-801.8392345964542,49.72414186911864,32.87342454575755,42.17054289231594,48.22011331769291,52.05850820314178
11,10.0,18.3,1250.3902621512075,-12.759562822535283,0.0,-634.4024044942506,41.81659391084589,39.342243433632575,34.11006394468766,34.95910276564195,28.82576737801686,10.0,18.3,1118.141770978681,-15.77068777648679,0.0,-625.5128493505546,42.256130557983404,49.179035866818616,44.19035288238889,70.478168114704,40.27293659333954
12,10.0,18.3,1248.8336149249837,-13.379182991996318,0.0,-703.5318613101928,46.47003029199755,38.30135084041156,37.58759562293884,43.20101501067352,34.254775509006045,10.0,18.3,1128.568888186993,-16.30525702849139,0.0,-651.7057593787031,44.78579709768459,50.67417998943097,46.457049563073646,75.51811027788001,34.9879481294866
13,10.0,18.3,1240.7775076831258,-12.893332260154235,0.0,-713.8509346305509,47.65478299758245,38.751845791241244,42.11522976341316,50.6103339274085,33.461897121269764,10.0,18.3,1130.0978976525853,-15.954681083211735,0.0,-765.9374068581669,49.94604190505295,43.31888691366641,46.74269447492438,72.99275282758374,42.52481234354441
14,10.0,18.3,1237.6410543110085,-12.733698448423695,0.0,-790.2084089228845,51.817134084522365,39.5767495389249,45.02406998101937,56.607510053219826,35.963058411678745,10.0,18.3,1127.1138933135,-15.901086397131388,0.0,-891.1424874464326,54.90387614147593,27.523699058780934,49.165327143441864,72.69952189811127,46.51538250463941
15,10.0,18.3,1230.42871244073,-13.084275378364232,0.0,-873.5467712529289,56.138665848740374,36.79131121982552,46.31331323698381,57.918194251645595,37.95523062174909,10.0,18.3,1123.9344783439772,-16.105905617809956,0.0,-945.127758289684,57.5107432672753,21.853446651763885,50.21535305603051,70.26094566330168,47.26657166399112
16,10.0,18.3,1216.3132842735445,-13.68950627340848,93.93813208831781,-887.6006136599655,58.141123427731486,33.605379124211986,42.95868946061609,61.13707309099574,35.15595696333188,10.0,18.3,1118.1589041922439,-16.759078453140017,85.23701696510882,-980.47551417144,60.38009598348553,20.33977955750701,48.27592112654589,65.82783039222929,47.69061218451576
17,10.0,18.3,1178.887343765095,-11.328606526422792,112.39160369333437,-898.4160440662182,58.421634167319304,30.77506701172222,39.36096696586297,61.55153866574405,32.82259021081234,10.0,18.3,1089.2536752399008,-13.148946438770464,102.93271274150315,-1063.09471752141,63.60458862682066,20.352523399606564,43.43338977725287,60.5870569099454,54.62640064134168
18,10.0,18.3,1165.3075018724148,-11.004608682462182,155.7658054267699,-910.2957931709384,60.86368871824926,28.37685262286737,47.93207346780153,69.93212855885659,42.93396829707332,10.0,18.3,1099.9124950737435,-14.95755996455096,129.0317828449577,-1054.2816312023522,67.35803575876447,16.137610994459134,51.9090274973227,57.99492501591611,43.90429934588193
19,10.0,18.3,1136.082289919463,-14.435741372318073,173.52714075672475,-1129.1380942552323,73.30585354143705,17.226022061507656,51.929088229430796,80.24696013003245,53.46094341750811,10.0,18.3,1059.167360382452,-15.929671227388017,165.12762544977218,-1145.790484268216,73.59250185208356,5.31876592883783,47.7961327995678,66.99476427988908,48.7343966389402
20,10.0,18.3,1271.587709373365,-17.34397415396846,0.0,-884.1713281349334,60.239705598106475,23.639217112288527,52.45940830732303,47.342457949335966,50.179692546734096,10.0,18.3,1187.1631294732451,-18.019577271647176,0.0,-949.7047611901954,63.31359612329122,14.380928877398832,50.455405916302134,43.83713877814998,39.96974069173586
